Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    45D6A036 time date stamp Sat Feb 17 14:27:02 2007
        0.00 version
           1 ordinal base
        136   7E 0001D18C NtAddBootEntry
        137   7F 0001D1A4 NtAddDriverEntry
        138   80 0001D1BC NtAdjustGroupsToken
        139   81 0001CDCB NtAdjustPrivilegesToken
        140   82 0001D1D4 NtAlertResumeThread
        141   83 0001D1EC NtAlertThread
        142   84 0001D204 NtAllocateLocallyUniqueId
        143   85 0001D21C NtAllocateUserPhysicalPages
        144   86 0001D234 NtAllocateUuids
        145   87 0001C9F3 NtAllocateVirtualMemory
        146   88 0001CED4 NtApphelpCacheControl
        147   89 0001D24C NtAreMappedFilesTheSame
        148   8A 0001D264 NtAssignProcessToJobObject
        149   8B 0001C82B NtCallbackReturn
        150   8C 0001D27C NtCancelDeviceWakeupRequest
        151   8D 0001D06C NtCancelIoFile
        152   8E 0001D0CC NtCancelTimer
        153   8F 0001CD83 NtClearEvent
        154   90 0001C91B NtClose
        155   91 0001CD3B NtCloseObjectAuditAlarm
        156   92 0001D294 NtCompactKeys
        157   93 0001D2AC NtCompareTokens
        158   94 0001D2C4 NtCompleteConnectPort
        159   95 0001D2DC NtCompressKey
        160   96 0001D2F4 NtConnectPort
        161   97 0001CDFB NtContinue
        162   98 0001D30C NtCreateDebugObject
        163   99 0001D324 NtCreateDirectoryObject
        164   9A 0001CE74 NtCreateEvent
        165   9B 0001D33C NtCreateEventPair
        166   9C 0001CFAC NtCreateFile
        167   9D 0001D354 NtCreateIoCompletion
        168   9E 0001D36C NtCreateJobObject
        169   9F 0001D384 NtCreateJobSet
        170   A0 0001CA6B NtCreateKey
        171   A1 0001D39C NtCreateKeyedEvent
        172   A2 0001D3B4 NtCreateMailslotFile
        173   A3 0001D3CC NtCreateMutant
        174   A4 0001D3E4 NtCreateNamedPipeFile
        175   A5 0001D3FC NtCreatePagingFile
        176   A6 0001D414 NtCreatePort
        177   A7 0001D42C NtCreateProcess
        178   A8 0001CEEC NtCreateProcessEx
        179   A9 0001D444 NtCreateProfile
        180   AA 0001CEA4 NtCreateSection
        181   AB 0001D45C NtCreateSemaphore
        182   AC 0001D474 NtCreateSymbolicLinkObject
        183   AD 0001CF04 NtCreateThread
        184   AE 0001D48C NtCreateTimer
        185   AF 0001D4A4 NtCreateToken
        186   B0 0001D4BC NtCreateWaitablePort
        187   B1 0001003E NtCurrentTeb
        188   B2 0001D4D4 NtDebugActiveProcess
        189   B3 0001D4EC NtDebugContinue
        190   B4 0001CC93 NtDelayExecution
        191   B5 0001D504 NtDeleteAtom
        192   B6 0001D51C NtDeleteBootEntry
        193   B7 0001D534 NtDeleteDriverEntry
        194   B8 0001D54C NtDeleteFile
        195   B9 0001D564 NtDeleteKey
        196   BA 0001D57C NtDeleteObjectAuditAlarm
        197   BB 0001D594 NtDeleteValueKey
        198   BC 0001C85B NtDeviceIoControlFile
        199   BD 0001D5AC NtDisplayString
        200   BE 0001CD53 NtDuplicateObject
        201   BF 0001CDE3 NtDuplicateToken
        202   C0 0001D5C4 NtEnumerateBootEntries
        203   C1 0001D5DC NtEnumerateDriverEntries
        204   C2 0001CC63 NtEnumerateKey
        205   C3 0001D5F4 NtEnumerateSystemEnvironmentValuesEx
        206   C4 0001C97B NtEnumerateValueKey
        207   C5 0001D60C NtExtendSection
        208   C6 0001D624 NtFilterToken
        209   C7 0001C993 NtFindAtom
        210   C8 0001CEBC NtFlushBuffersFile
        211   C9 0001D63C NtFlushInstructionCache
        212   CA 0001D654 NtFlushKey
        213   CB 0001D66C NtFlushVirtualMemory
        214   CC 0001D684 NtFlushWriteBuffer
        215   CD 0001D69C NtFreeUserPhysicalPages
        216   CE 0001CA83 NtFreeVirtualMemory
        217   CF 0001CD0B NtFsControlFile
        218   D0 0001D6B4 NtGetContextThread
        219   D1 0001D6CC NtGetCurrentProcessorNumber
        220   D2 0001D6E4 NtGetDevicePowerState
        221   D3 0001D6FC NtGetPlugPlayEvent
        222   D4 0006A9DE NtGetTickCount
        223   D5 0001D714 NtGetWriteWatch
        224   D6 0001D72C NtImpersonateAnonymousToken
        225   D7 0001CA9B NtImpersonateClientOfPort
        226   D8 0001D744 NtImpersonateThread
        227   D9 0001D75C NtInitializeRegistry
        228   DA 0001D774 NtInitiatePowerAction
        229   DB 0001CF1C NtIsProcessInJob
        230   DC 0001D78C NtIsSystemResumeAutomatic
        231   DD 0001D7A4 NtListenPort
        232   DE 0001D7BC NtLoadDriver
        234   DF 0001D7D4 NtLoadKey
        233   E0 0001D7EC NtLoadKey2
        235   E1 0001D804 NtLoadKeyEx
        236   E2 0001D81C NtLockFile
        237   E3 0001D834 NtLockProductActivationKeys
        238   E4 0001D84C NtLockRegistryKey
        239   E5 0001D864 NtLockVirtualMemory
        240   E6 0001D87C NtMakePermanentObject
        241   E7 0001D894 NtMakeTemporaryObject
        242   E8 0001D8AC NtMapUserPhysicalPages
        243   E9 0001C7FB NtMapUserPhysicalPagesScatter
        244   EA 0001CB73 NtMapViewOfSection
        245   EB 0001D8C4 NtModifyBootEntry
        246   EC 0001D8DC NtModifyDriverEntry
        247   ED 0001D8F4 NtNotifyChangeDirectoryFile
        248   EE 0001D90C NtNotifyChangeKey
        249   EF 0001D924 NtNotifyChangeMultipleKeys
        250   F0 0001CFF4 NtOpenDirectoryObject
        251   F1 0001CDB3 NtOpenEvent
        252   F2 0001D93C NtOpenEventPair
        253   F3 0001CC7B NtOpenFile
        254   F4 0001D954 NtOpenIoCompletion
        255   F5 0001D96C NtOpenJobObject
        256   F6 0001C963 NtOpenKey
        257   F7 0001D984 NtOpenKeyedEvent
        258   F8 0001D99C NtOpenMutant
        259   F9 0001D9B4 NtOpenObjectAuditAlarm
        260   FA 0001CB43 NtOpenProcess
        261   FB 0001D9CC NtOpenProcessToken
        262   FC 0001CC33 NtOpenProcessTokenEx
        263   FD 0001CCDB NtOpenSection
        264   FE 0001D9E4 NtOpenSemaphore
        265   FF 0001D9FC NtOpenSymbolicLinkObject
        266  100 0001DA14 NtOpenThread
        267  101 0001CB13 NtOpenThreadToken
        268  102 0001CC1B NtOpenThreadTokenEx
        269  103 0001DA2C NtOpenTimer
        270  104 0001DA44 NtPlugPlayControl
        271  105 0001D09C NtPowerInformation
        272  106 0001DA5C NtPrivilegeCheck
        273  107 0001DA74 NtPrivilegeObjectAuditAlarm
        274  108 0001DA8C NtPrivilegedServiceAuditAlarm
        275  109 0001CF34 NtProtectVirtualMemory
        276  10A 0001DAA4 NtPulseEvent
        277  10B 0001CD6B NtQueryAttributesFile
        278  10C 0001DABC NtQueryBootEntryOrder
        279  10D 0001DAD4 NtQueryBootOptions
        280  10E 0001DAEC NtQueryDebugFilterState
        281  10F 0001C9AB NtQueryDefaultLocale
        282  110 0001CE13 NtQueryDefaultUILanguage
        283  111 0001CCAB NtQueryDirectoryFile
        284  112 0001DB04 NtQueryDirectoryObject
        285  113 0001DB1C NtQueryDriverEntryOrder
        286  114 0001DB34 NtQueryEaFile
        287  115 0001CFC4 NtQueryEvent
        288  116 0001DB4C NtQueryFullAttributesFile
        289  117 0001DB64 NtQueryInformationAtom
        290  118 0001C94B NtQueryInformationFile
        291  119 0001DB7C NtQueryInformationJobObject
        292  11A 0001DB94 NtQueryInformationPort
        293  11B 0001CA0B NtQueryInformationProcess
        294  11C 0001CB2B NtQueryInformationThread
        295  11D 0001CACB NtQueryInformationToken
        296  11E 0001DBAC NtQueryInstallUILanguage
        297  11F 0001DBC4 NtQueryIntervalProfile
        298  120 0001DBDC NtQueryIoCompletion
        299  121 0001C9C3 NtQueryKey
        300  122 0001DBF4 NtQueryMultipleValueKey
        301  123 0001DC0C NtQueryMutant
        302  124 0001C933 NtQueryObject
        303  125 0001DC24 NtQueryOpenSubKeys
        304  126 0001DC3C NtQueryOpenSubKeysEx
        305  127 0001CC4B NtQueryPerformanceCounter
        306  128 0001DC54 NtQueryPortInformationProcess
        307  129 0001DC6C NtQueryQuotaInformationFile
        308  12A 0001CF4C NtQuerySection
        309  12B 0001DC84 NtQuerySecurityObject
        310  12C 0001DC9C NtQuerySemaphore
        311  12D 0001DCB4 NtQuerySymbolicLinkObject
        312  12E 0001DCCC NtQuerySystemEnvironmentValue
        313  12F 0001DCE4 NtQuerySystemEnvironmentValueEx
        314  130 0001CCC3 NtQuerySystemInformation
        315  131 0001D024 NtQuerySystemTime
        316  132 0001CCF3 NtQueryTimer
        317  133 0001DCFC NtQueryTimerResolution
        318  134 0001C9DB NtQueryValueKey
        319  135 0001CAFB NtQueryVirtualMemory
        320  136 0001CE8C NtQueryVolumeInformationFile
        321  137 0001CE2B NtQueueApcThread
        322  138 0001DD14 NtRaiseException
        323  139 0001DD2C NtRaiseHardError
