Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    B7F0154A time date stamp
        0.00 version
           8 ordinal base
        2485 number of functions
        2484 number of names

    ordinal hint RVA      name

        134   7D 000D9650 LdrGetFailureData
        135   7E 000EB4E0 LdrGetFileNameFromLoadAsDataTable
        136   7F 00086840 LdrGetKnownDllSectionHandle
        137   80 00084220 LdrGetProcedureAddress
        138   81 000796E0 LdrGetProcedureAddressEx
        139   82 00021B00 LdrGetProcedureAddressForCaller
        140   83 000D9670 LdrHotPatchNotify
        141   84 000DCB60 LdrInitShimEngineDynamic
        142   85 000D82F0 LdrInitializeEnclave
        143   86 00073D70 LdrInitializeThunk
        144   87 000D97E0 LdrIsModuleSxsRedirected
        145   88 00083F90 LdrLoadAlternateResourceModule
        146   89 0001F2A0 LdrLoadAlternateResourceModuleEx
        147   8A 0002A150 LdrLoadDll
        148   8B 000D84A0 LdrLoadEnclaveModule
        149   8C 00050AB0 LdrLockLoaderLock
        150   8D 000EBF90 LdrOpenImageFileOptionsKey
        151   8E 00073D40 LdrProcessInitializationComplete
        152   8F 000EE110 LdrProcessRelocationBlock
        153   90 000EE140 LdrProcessRelocationBlockEx
        154   91 0007D740 LdrQueryImageFileExecutionOptions
        155   92 0007D780 LdrQueryImageFileExecutionOptionsEx
        156   93 0007D820 LdrQueryImageFileKeyOption
        157   94 000D9920 LdrQueryModuleServiceTags
        158   95 000DA540 LdrQueryOptionalDelayLoadedAPI
        159   96 000D9A10 LdrQueryProcessModuleInformation
        160   97 00001F00 LdrRegisterDllNotification
        161   98 00078570 LdrRemoveDllDirectory
        162   99 00071890 LdrRemoveLoadAsDataTable
        163   9A 000EE8A0 LdrResFindResource
        164   9B 00005190 LdrResFindResourceDirectory
        165   9C 000077D0 LdrResGetRCConfig
        166   9D 000EE920 LdrResRelease
        167   9E 00005220 LdrResSearchResource
        168   9F 0002B910 LdrResolveDelayLoadedAPI
        169   A0 000DA600 LdrResolveDelayLoadsFromDll
        170   A1 00028B00 LdrRscIsTypeExist
        171   A2 000D9E60 LdrSetAppCompatDllRedirectionCallback
        172   A3 00078910 LdrSetDefaultDllDirectories
        173   A4 000787E0 LdrSetDllDirectory
        174   A5 00086280 LdrSetDllManifestProber
        175   A6 000D9E70 LdrSetImplicitPathOptions
        176   A7 0008E240 LdrSetMUICacheType
        177   A8 00050F20 LdrShutdownProcess
        178   A9 00028D60 LdrShutdownThread
        179   AA 0009DEF0 LdrStandardizeSystemPath
        180   AB 00199300 LdrSystemDllInitBlock
