Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    B7F0154A time date stamp
        0.00 version
           8 ordinal base
        2485 number of functions
        2484 number of names

    ordinal hint RVA      name

        549  21C 000A1B30 NtRecoverTransactionManager
        550  21D 000A1B50 NtRegisterProtocolAddressInformation
        551  21E 000A1B70 NtRegisterThreadTerminatePort
        552  21F 000A1B90 NtReleaseKeyedEvent
        553  220 0009F040 NtReleaseMutant
        554  221 0009ED80 NtReleaseSemaphore
        555  222 000A1BB0 NtReleaseWorkerFactoryWorker
        556  223 0009ED60 NtRemoveIoCompletion
        557  224 000A1BD0 NtRemoveIoCompletionEx
        558  225 000A1BF0 NtRemoveProcessDebug
        559  226 000A1C10 NtRenameKey
        560  227 000A1C30 NtRenameTransactionManager
        561  228 000A1C50 NtReplaceKey
        562  229 000A1C70 NtReplacePartitionUnit
        563  22A 0009EDC0 NtReplyPort
        564  22B 0009EDA0 NtReplyWaitReceivePort
        565  22C 0009F1A0 NtReplyWaitReceivePortEx
        566  22D 000A1C90 NtReplyWaitReplyPort
        567  22E 000A1CB0 NtRequestPort
        568  22F 0009F080 NtRequestWaitReplyPort
        569  230 000A1CD0 NtResetEvent
        570  231 000A1CF0 NtResetWriteWatch
        571  232 000A1D10 NtRestoreKey
        572  233 000A1D30 NtResumeProcess
        573  234 0009F680 NtResumeThread
        574  235 000A1D50 NtRevertContainerImpersonation
        575  236 000A1D70 NtRollbackComplete
        576  237 000A1D90 NtRollbackEnlistment
        577  238 000A1DB0 NtRollbackRegistryTransaction
        578  239 000A1DD0 NtRollbackTransaction
        579  23A 000A1DF0 NtRollforwardTransactionManager
        580  23B 000A1E10 NtSaveKey
        581  23C 000A1E30 NtSaveKeyEx
        582  23D 000A1E50 NtSaveMergedKeys
        583  23E 000A1E70 NtSecureConnectPort
        584  23F 000A1E90 NtSerializeBoot
        585  240 000A1EB0 NtSetBootEntryOrder
        586  241 000A1ED0 NtSetBootOptions
        587  242 000A1EF0 NtSetCachedSigningLevel
        588  243 000A1F10 NtSetCachedSigningLevel2
        589  244 000A1F30 NtSetContextThread
        590  245 000A1F50 NtSetDebugFilterState
        591  246 000A1F70 NtSetDefaultHardErrorPort
        592  247 000A1F90 NtSetDefaultLocale
        593  248 000A1FB0 NtSetDefaultUILanguage
        594  249 000A1FD0 NtSetDriverEntryOrder
        595  24A 000A1FF0 NtSetEaFile
        596  24B 0009EE00 NtSetEvent
        597  24C 0009F1E0 NtSetEventBoostPriority
        598  24D 000A2010 NtSetHighEventPair
        599  24E 000A2030 NtSetHighWaitLowEventPair
        600  24F 000A2050 NtSetIRTimer
        601  250 000A2070 NtSetInformationCpuPartition
        602  251 000A2090 NtSetInformationDebugObject
        603  252 000A20B0 NtSetInformationEnlistment
        604  253 0009F120 NtSetInformationFile
        605  254 000A20D0 NtSetInformationIoRing
        606  255 000A20F0 NtSetInformationJobObject
        607  256 000A2110 NtSetInformationKey
        608  257 0009F7B0 NtSetInformationObject
        609  258 0009EFC0 NtSetInformationProcess
        610  259 000A2130 NtSetInformationResourceManager
        611  25A 000A2150 NtSetInformationSymbolicLink
        612  25B 0009EDE0 NtSetInformationThread
        613  25C 000A2170 NtSetInformationToken
        614  25D 000A2190 NtSetInformationTransaction
        615  25E 000A21B0 NtSetInformationTransactionManager
        616  25F 000A21D0 NtSetInformationVirtualMemory
        617  260 000A21F0 NtSetInformationWorkerFactory
        618  261 000A2210 NtSetIntervalProfile
        619  262 000A2230 NtSetIoCompletion
        620  263 000A2250 NtSetIoCompletionEx
        621  264 000A2270 NtSetLdtEntries
        622  265 000A2290 NtSetLowEventPair
        623  266 000A22B0 NtSetLowWaitHighEventPair
        624  267 000A22D0 NtSetQuotaInformationFile
        625  268 000A22F0 NtSetSecurityObject
        626  269 000A2310 NtSetSystemEnvironmentValue
        627  26A 000A2330 NtSetSystemEnvironmentValueEx
        628  26B 000A2350 NtSetSystemInformation
        629  26C 000A2370 NtSetSystemPowerState
        630  26D 000A2390 NtSetSystemTime
        631  26E 000A23B0 NtSetThreadExecutionState
        632  26F 0009F870 NtSetTimer
        633  270 000A23D0 NtSetTimer2
        634  271 000A23F0 NtSetTimerEx
        635  272 000A2410 NtSetTimerResolution
        636  273 000A2430 NtSetUuidSeed
        637  274 0009F830 NtSetValueKey
        638  275 000A2450 NtSetVolumeInformationFile
        639  276 000A2470 NtSetWnfProcessNotificationEvent
        640  277 000A2490 NtShutdownSystem
        641  278 000A24B0 NtShutdownWorkerFactory
        642  279 000A24D0 NtSignalAndWaitForSingleObject
        643  27A 000A24F0 NtSinglePhaseReject
        644  27B 000A2510 NtStartProfile
        645  27C 000A2530 NtStopProfile
        646  27D 000A2550 NtSubmitIoRing
        647  27E 000A2570 NtSubscribeWnfStateChange
        648  27F 000A2590 NtSuspendProcess
        649  280 000A25B0 NtSuspendThread
        650  281 000A25D0 NtSystemDebugControl
        651  282 000A25F0 NtTerminateEnclave
        652  283 000A2610 NtTerminateJobObject
        653  284 0009F1C0 NtTerminateProcess
        654  285 0009F6A0 NtTerminateThread
        655  286 000A2630 NtTestAlert
        656  287 000A2650 NtThawRegistry
        657  288 000A2670 NtThawTransactions
        658  289 000A2690 NtTraceControl
        659  28A 0009F7F0 NtTraceEvent
        660  28B 000A26B0 NtTranslateFilePath
        661  28C 000A26D0 NtUmsThreadYield
        662  28D 000A26F0 NtUnloadDriver
        663  28E 000A2710 NtUnloadKey
        664  28F 000A2730 NtUnloadKey2
        665  290 000A2750 NtUnloadKeyEx
        666  291 000A2770 NtUnlockFile
        667  292 000A2790 NtUnlockVirtualMemory
        668  293 0009F180 NtUnmapViewOfSection
        669  294 000A27B0 NtUnmapViewOfSectionEx
        670  295 000A27D0 NtUnsubscribeWnfStateChange
        671  296 000A27F0 NtUpdateWnfStateData
        672  297 000A2810 NtVdmControl
        673  298 000A2830 NtWaitForAlertByThreadId
        674  299 000A2850 NtWaitForDebugEvent
        675  29A 000A2870 NtWaitForKeyedEvent
        676  29B 0009F790 NtWaitForMultipleObjects
        677  29C 0009EF80 NtWaitForMultipleObjects32
        678  29D 0009ECC0 NtWaitForSingleObject
        679  29E 000A2890 NtWaitForWorkViaWorkerFactory
        680  29F 000A28B0 NtWaitHighEventPair
        681  2A0 000A28D0 NtWaitLowEventPair
        682  2A1 0009EC60 NtWorkerFactoryWorkerReady
        683  2A2 0009ED40 NtWriteFile
        684  2A3 0009EFA0 NtWriteFileGather
        685  2A4 0009F720 NtWriteRequestData
        686  2A5 0009F380 NtWriteVirtualMemory
        687  2A6 0009F500 NtYieldExecution
        688  2A7 0009E910 NtdllDefWindowProc_A
        689  2A8 0009E920 NtdllDefWindowProc_W
        690  2A9 0009E9D0 NtdllDialogWndProc_A
        691  2AA 0009E9E0 NtdllDialogWndProc_W
        692  2AB 000F0650 PfxFindPrefix
        693  2AC 000F0730 PfxInitialize
        694  2AD 000F0750 PfxInsertPrefix
        695  2AE 000F0870 PfxRemovePrefix
        696  2AF 00126F40 PssNtCaptureSnapshot
        697  2B0 00127410 PssNtDuplicateSnapshot
        698  2B1 00127490 PssNtFreeRemoteSnapshot
        699  2B2 001276A0 PssNtFreeSnapshot
        700  2B3 00127830 PssNtFreeWalkMarker
        701  2B4 00127870 PssNtQuerySnapshot
        702  2B5 00127B20 PssNtValidateDescriptor
        703  2B6 00127CB0 PssNtWalkSnapshot
        704  2B7 0007FA90 RtlAbortRXact
        705  2B8 0006C750 RtlAbsoluteToSelfRelativeSD
        706  2B9 0007FA40 RtlAcquirePebLock
        707  2BA 00078CE0 RtlAcquirePrivilege
        708  2BB 00080C20 RtlAcquireReleaseSRWLockExclusive
        709  2BC 0005FD00 RtlAcquireResourceExclusive
        710  2BD 0005FBE0 RtlAcquireResourceShared
        711  2BE 00037800 RtlAcquireSRWLockExclusive
        712  2BF 00026830 RtlAcquireSRWLockShared
        713  2C0 00074E10 RtlActivateActivationContext
        714  2C1 00074E60 RtlActivateActivationContextEx
        715  2C2 00028560 RtlActivateActivationContextUnsafeFast
        716  2C3 0007AC90 RtlAddAccessAllowedAce
        717  2C4 0007D540 RtlAddAccessAllowedAceEx
        718  2C5 000F38E0 RtlAddAccessAllowedObjectAce
        719  2C6 0008CF20 RtlAddAccessDeniedAce
        720  2C7 00087ED0 RtlAddAccessDeniedAceEx
        721  2C8 000F3950 RtlAddAccessDeniedObjectAce
        722  2C9 000F39C0 RtlAddAccessFilterAce
        723  2CA 00068390 RtlAddAce
        724  2CB 0008BC30 RtlAddActionToRXact
        725  2CC 000035F0 RtlAddAtomToAtomTable
        726  2CD 00080620 RtlAddAttributeActionToRXact
        727  2CE 0008D660 RtlAddAuditAccessAce
        728  2CF 0008CD80 RtlAddAuditAccessAceEx
        729  2D0 000F3BD0 RtlAddAuditAccessObjectAce
        730  2D1 000F3C40 RtlAddCompoundAce
        731  2D2 000EADC0 RtlAddFunctionTable
        732  2D3 00072130 RtlAddGrowableFunctionTable
        733  2D4 000F5690 RtlAddIntegrityLabelToBoundaryDescriptor
        734  2D5 000689A0 RtlAddMandatoryAce
        735  2D6 00067F10 RtlAddProcessTrustLabelAce
        736  2D7 00033680 RtlAddRefActivationContext
        737  2D8 000E0740 RtlAddRefMemoryStream
        738  2D9 000F3DB0 RtlAddResourceAttributeAce
        739  2DA 00083870 RtlAddSIDToBoundaryDescriptor
        740  2DB 000F4100 RtlAddScopedPolicyIDAce
        741  2DC 000ADB50 RtlAddVectoredContinueHandler
        742  2DD 00084320 RtlAddVectoredExceptionHandler
        743  2DE 0002AB70 RtlAddressInSectionTable
        744  2DF 0007DAB0 RtlAdjustPrivilege
        745  2E0 00073710 RtlAllocateActivationContextStack
        746  2E1 0006D850 RtlAllocateAndInitializeSid
        747  2E2 0008D5A0 RtlAllocateAndInitializeSidEx
        748  2E3 00003CA0 RtlAllocateHandle
        749  2E4 0003C600 RtlAllocateHeap
        750  2E5 0012F010 RtlAllocateMemoryBlockLookaside
        751  2E6 0012F0F0 RtlAllocateMemoryZone
        752  2E7 00086260 RtlAllocateWnfSerializationGroup
        753  2E8 0005F410 RtlAnsiCharToUnicodeChar
        754  2E9 00018690 RtlAnsiStringToUnicodeSize
        755  2EA 00024970 RtlAnsiStringToUnicodeString
        756  2EB 000F5CF0 RtlAppendAsciizToString
        757  2EC 000D7030 RtlAppendPathElement
        758  2ED 000F5D60 RtlAppendStringToString
        759  2EE 00018E70 RtlAppendUnicodeStringToString
        760  2EF 0000AF60 RtlAppendUnicodeToString
        761  2F0 000E6020 RtlApplicationVerifierStop
        762  2F1 000F0940 RtlApplyRXact
        763  2F2 0007FA60 RtlApplyRXactNoFlush
        764  2F3 000D6BB0 RtlAppxIsFileOwnedByTrustedInstaller
        765  2F4 000800F0 RtlAreAllAccessesGranted
        766  2F5 000F09F0 RtlAreAnyAccessesGranted
        767  2F6 000F5E30 RtlAreBitsClear
        768  2F7 000F5F10 RtlAreBitsClearEx
        769  2F8 0007F690 RtlAreBitsSet
        770  2F9 0007B000 RtlAreLongPathsEnabled
        771  2FA 000F87A0 RtlAssert
        772  2FB 000723B0 RtlAvlInsertNodeEx
        773  2FC 00071D60 RtlAvlRemoveNode
        774  2FD 000F88D0 RtlBarrier
        775  2FE 000F88E0 RtlBarrierForDelete
        776  2FF 000A2E00 RtlCallEnclave
        777  300 000A2E6B RtlCallEnclaveReturn
        778  301 001264C0 RtlCancelTimer
        779  302 0000CF10 RtlCanonicalizeDomainName
        780  303 000112E0 RtlCapabilityCheck
        781  304 00089160 RtlCapabilityCheckForSingleSessionSku
        782  305 000A2F60 RtlCaptureContext
        783  306 000A30A0 RtlCaptureContext2
        784  307 00079C70 RtlCaptureStackBackTrace
        785  308 00072960 RtlCharToInteger
        786  309 000F8E10 RtlCheckBootStatusIntegrity
        787  30A 00081030 RtlCheckForOrphanedCriticalSections
        788  30B 000882D0 RtlCheckPortableOperatingSystem
        789  30C 00008780 RtlCheckRegistryKey
        790  30D 00088B80 RtlCheckSandboxedToken
        791  30E 000F8F70 RtlCheckSystemBootStatusIntegrity
        792  30F 000180B0 RtlCheckTokenCapability
        793  310 000F0A00 RtlCheckTokenMembership
        794  311 00013ED0 RtlCheckTokenMembershipEx
        795  312 00011210 RtlCleanUpTEBLangLists
        796  313 00079B70 RtlClearAllBits
        797  314 000F5FF0 RtlClearAllBitsEx
        798  315 00089B80 RtlClearBit
        799  316 000F6020 RtlClearBitEx
        800  317 00007E80 RtlClearBits
        801  318 000F6040 RtlClearBitsEx
        802  319 00035010 RtlClearThreadWorkOnBehalfTicket
        803  31A 000E0750 RtlCloneMemoryStream
        804  31B 000E11E0 RtlCloneUserProcess
        805  31C 000FCA70 RtlCmDecodeMemIoResource
        806  31D 000FCAE0 RtlCmEncodeMemIoResource
        807  31E 000E1DA0 RtlCommitDebugInfo
        808  31F 000E0760 RtlCommitMemoryStream
        809  320 000FCEE0 RtlCompactHeap
        810  321 00100690 RtlCompareAltitudes
        811  322 00100890 RtlCompareExchangePointerMapping
        812  323 001009E0 RtlCompareExchangePropertyStore
        813  324 000A37C0 RtlCompareMemory
        814  325 000A3840 RtlCompareMemoryUlong
        815  326 0008D320 RtlCompareString
        816  327 000145F0 RtlCompareUnicodeString
        817  328 000144D0 RtlCompareUnicodeStrings
        818  329 0009DF00 RtlCompleteProcessCloning
        819  32A 00083EA0 RtlCompressBuffer
        820  32B 00052500 RtlComputeCrc32
        821  32C 000EA9B0 RtlComputeImportTableHash
        822  32D 000E03C0 RtlComputePrivatizedDllName_U
        823  32E 00088680 RtlConnectToSm
        824  32F 000EFAA0 RtlConsoleMultiByteToUnicodeN
        825  330 00101190 RtlConstructCrossVmEventPath
        826  331 00101190 RtlConstructCrossVmMutexPath
        827  332 000847F0 RtlContractHashTable
        828  333 00077EC0 RtlConvertDeviceFamilyInfoToString
        829  334 00087BE0 RtlConvertExclusiveToShared
        830  335 00089BB0 RtlConvertHostPerfCounterToPerfCounter
        831  336 000F9CD0 RtlConvertLCIDToString
        832  337 000880C0 RtlConvertSRWLockExclusiveToShared
        833  338 0007F4E0 RtlConvertSharedToExclusive
        834  339 0001A8C0 RtlConvertSidToUnicodeString
        835  33A 000E1740 RtlConvertToAutoInheritSecurityObject
        836  33B 000F6100 RtlCopyBitMap
        837  33C 00053F90 RtlCopyContext
        838  33D 00101340 RtlCopyExtendedContext
        839  33E 0007DA30 RtlCopyLuid
        840  33F 000F0A20 RtlCopyLuidAndAttributesArray
        841  340 00086050 RtlCopyMappedMemory
        842  341 000A57C0 RtlCopyMemory
        843  342 000A3870 RtlCopyMemoryNonTemporal
        844  343 000E0770 RtlCopyMemoryStreamTo
        845  344 000E0770 RtlCopyOutOfProcessMemoryStreamTo
        846  345 0006C4D0 RtlCopySecurityDescriptor
        847  346 00068B20 RtlCopySid
        848  347 000F0A60 RtlCopySidAndAttributesArray
        849  348 00088250 RtlCopyString
        850  349 0002D110 RtlCopyUnicodeString
        851  34A 00085DD0 RtlCrc32
        852  34B 00101B00 RtlCrc64
        853  34C 00018060 RtlCreateAcl
        854  34D 00075930 RtlCreateActivationContext
        855  34E 000680A0 RtlCreateAndSetSD
        856  34F 00003260 RtlCreateAtomTable
        857  350 000F8FD0 RtlCreateBootStatusDataFile
        858  351 00085590 RtlCreateBoundaryDescriptor
        859  352 00057E80 RtlCreateEnvironment
        860  353 00057EA0 RtlCreateEnvironmentEx
        861  354 000765E0 RtlCreateHashTable
        862  355 0008C620 RtlCreateHashTableEx
        863  356 00047A50 RtlCreateHeap
        864  357 00080140 RtlCreateMemoryBlockLookaside
        865  358 00080310 RtlCreateMemoryZone
        866  359 000E1470 RtlCreateProcessParameters
        867  35A 000576E0 RtlCreateProcessParametersEx
        868  35B 00057760 RtlCreateProcessParametersWithTemplate
        869  35C 000E08C0 RtlCreateProcessReflection
        870  35D 00002480 RtlCreateQueryDebugBuffer
        871  35E 000F98A0 RtlCreateRegistryKey
        872  35F 000141B0 RtlCreateSecurityDescriptor
        873  360 0000FC40 RtlCreateServiceSid
        874  361 0006BCB0 RtlCreateSystemVolumeInformationFolder
        875  362 0007F910 RtlCreateTagHeap
        876  363 0004CE30 RtlCreateTimer
        877  364 000500D0 RtlCreateTimerQueue
        878  365 00102810 RtlCreateUmsCompletionList
        879  366 00102820 RtlCreateUmsThreadContext
        880  367 0000E520 RtlCreateUnicodeString
        881  368 0006ADD0 RtlCreateUnicodeStringFromAsciiz
        882  369 000EBE50 RtlCreateUserFiberShadowStack
        883  36A 000EBED0 RtlCreateUserProcess
        884  36B 000872E0 RtlCreateUserProcessEx
        885  36C 000E1750 RtlCreateUserSecurityObject
        886  36D 000820B0 RtlCreateUserStack
        887  36E 0005BCC0 RtlCreateUserThread
        888  36F 00085A90 RtlCreateVirtualAccountSid
        889  370 000160C0 RtlCultureNameToLCID
        890  371 00058AE0 RtlCustomCPToUnicodeN
        891  372 00058C10 RtlCutoverTimeToSystemTime
        892  373 000E1DB0 RtlDeCommitDebugInfo
        893  374 000E14E0 RtlDeNormalizeProcessParams
        894  375 00073910 RtlDeactivateActivationContext
        895  376 00026560 RtlDeactivateActivationContextUnsafeFast
        896  377 000890C0 RtlDebugPrintTimes
        897  378 0006D810 RtlDecodePointer
        898  379 000E66E0 RtlDecodeRemotePointer
        899  37A 00086960 RtlDecodeSystemPointer
        900  37B 00100F40 RtlDecompressBuffer
        901  37C 00081E10 RtlDecompressBufferEx
        902  37D 00100FE0 RtlDecompressFragment
        903  37E 000019A0 RtlDefaultNpAcl
        904  37F 00055150 RtlDelayExecution
        905  380 00062A40 RtlDelete
        906  381 0007BDD0 RtlDeleteAce
        907  382 00003540 RtlDeleteAtomFromAtomTable
        908  383 000F8900 RtlDeleteBarrier
        909  384 000390C0 RtlDeleteBoundaryDescriptor
        910  385 0005A710 RtlDeleteCriticalSection
        911  386 00062530 RtlDeleteElementGenericTable
        912  387 0006A6A0 RtlDeleteElementGenericTableAvl
        913  388 0006A940 RtlDeleteElementGenericTableAvlEx
        914  389 0008C3B0 RtlDeleteFunctionTable
        915  38A 00071BE0 RtlDeleteGrowableFunctionTable
        916  38B 0007B2E0 RtlDeleteHashTable
        917  38C 00062480 RtlDeleteNoSplay
        918  38D 0008CF50 RtlDeleteRegistryValue
        919  38E 0005A680 RtlDeleteResource
        920  38F 00080590 RtlDeleteSecurityObject
        921  390 0004CC90 RtlDeleteTimer
        922  391 001264D0 RtlDeleteTimerQueue
        923  392 00051740 RtlDeleteTimerQueueEx
        924  393 00102830 RtlDeleteUmsCompletionList
        925  394 00102840 RtlDeleteUmsThreadContext
        926  395 00102850 RtlDequeueUmsCompletionListItems
        927  396 00102C10 RtlDeregisterSecureMemoryCacheCallback
        928  397 00088B10 RtlDeregisterWait
        929  398 0004C2F0 RtlDeregisterWaitEx
        930  399 0002A760 RtlDeriveCapabilitySidsFromName
        931  39A 0008BAF0 RtlDestroyAtomTable
        932  39B 00082A10 RtlDestroyEnvironment
        933  39C 00088AE0 RtlDestroyHandleTable
        934  39D 00048FD0 RtlDestroyHeap
        935  39E 00088A10 RtlDestroyMemoryBlockLookaside
        936  39F 00088A70 RtlDestroyMemoryZone
        937  3A0 000856E0 RtlDestroyProcessParameters
        938  3A1 000026D0 RtlDestroyQueryDebugBuffer
        939  3A2 000513B0 RtlDetectHeapLeaks
        940  3A3 00078B80 RtlDetermineDosPathNameType_U
        941  3A4 000D6D30 RtlDisableThreadProfiling
        942  3A5 00081160 RtlDisownModuleHeapAllocation
        943  3A6 0004F730 RtlDllShutdownInProgress
        944  3A7 0008C060 RtlDnsHostNameToComputerName
        945  3A8 00088FC0 RtlDoesFileExists_U
        946  3A9 00107520 RtlDoesNameContainWildCards
        947  3AA 0001B100 RtlDosApplyFileIsolationRedirection_Ustr
        948  3AB 000AD020 RtlDosLongPathNameToNtPathName_U_WithStatus
        949  3AC 000D7290 RtlDosLongPathNameToRelativeNtPathName_U_WithStatus
        950  3AD 00077C70 RtlDosPathNameToNtPathName_U
        951  3AE 00077AC0 RtlDosPathNameToNtPathName_U_WithStatus
        952  3AF 000083B0 RtlDosPathNameToRelativeNtPathName_U
        953  3B0 0001B6B0 RtlDosPathNameToRelativeNtPathName_U_WithStatus
        954  3B1 00078950 RtlDosSearchPath_U
        955  3B2 00019F20 RtlDosSearchPath_Ustr
        956  3B3 000AE000 RtlDowncaseUnicodeChar
        957  3B4 00073BF0 RtlDowncaseUnicodeString
        958  3B5 00107D80 RtlDrainNonVolatileFlush
        959  3B6 000F3230 RtlDumpResource
        960  3B7 0007E310 RtlDuplicateUnicodeString
        961  3B8 0008BBB0 RtlEmptyAtomTable
        962  3B9 000F3290 RtlEnableEarlyCriticalSectionEventCreation
        963  3BA 000D6DA0 RtlEnableThreadProfiling
        964  3BB 000A2D90 RtlEnclaveCallDispatch
        965  3BC 000A2DC1 RtlEnclaveCallDispatchReturn
        966  3BD 000736D0 RtlEncodePointer
        967  3BE 000E6750 RtlEncodeRemotePointer
        968  3BF 000869A0 RtlEncodeSystemPointer
        969  3C0 00083D30 RtlEndEnumerationHashTable
        970  3C1 0008C630 RtlEndStrongEnumerationHashTable
        971  3C2 00101310 RtlEndWeakEnumerationHashTable
        972  3C3 00021680 RtlEnterCriticalSection
        973  3C4 00102860 RtlEnterUmsSchedulingMode
        974  3C5 000FD200 RtlEnumProcessHeaps
        975  3C6 0006CC30 RtlEnumerateEntryHashTable
        976  3C7 00062410 RtlEnumerateGenericTable
        977  3C8 00062F30 RtlEnumerateGenericTableAvl
        978  3C9 001029B0 RtlEnumerateGenericTableLikeADirectory
        979  3CA 00062C40 RtlEnumerateGenericTableWithoutSplaying
        980  3CB 00062F50 RtlEnumerateGenericTableWithoutSplayingAvl
        981  3CC 000F5910 RtlEqualComputerName
        982  3CD 0000CE90 RtlEqualDomainName
        983  3CE 000F0B20 RtlEqualLuid
        984  3CF 000166C0 RtlEqualPrefixSid
        985  3D0 000103B0 RtlEqualSid
        986  3D1 00082E20 RtlEqualString
        987  3D2 000296F0 RtlEqualUnicodeString
        988  3D3 00088EE0 RtlEqualWnfChangeStamps
        989  3D4 00089010 RtlEraseUnicodeString
        990  3D5 00107E40 RtlEthernetAddressToStringA
        991  3D6 00107EB0 RtlEthernetAddressToStringW
        992  3D7 00107F20 RtlEthernetStringToAddressA
        993  3D8 00108060 RtlEthernetStringToAddressW
        994  3D9 00102840 RtlExecuteUmsThread
        995  3DA 00050BE0 RtlExitUserProcess
        996  3DB 0005AA30 RtlExitUserThread
        997  3DC 00059470 RtlExpandEnvironmentStrings
        998  3DD 000593F0 RtlExpandEnvironmentStrings_U
        999  3DE 000891D0 RtlExpandHashTable
       1000  3DF 001081B0 RtlExtendCorrelationVector
       1001  3E0 000F5720 RtlExtendMemoryBlockLookaside
       1002  3E1 000F57A0 RtlExtendMemoryZone
       1003  3E2 000F6310 RtlExtractBitMap
       1004  3E3 00108640 RtlFillMemory
       1005  3E4 000A39B0 RtlFillMemoryNonTemporal
       1006  3E5 00108660 RtlFillNonVolatileMemory
       1007  3E6 000E0780 RtlFinalReleaseOutOfProcessMemoryStream
       1008  3E7 00015090 RtlFindAceByType
       1009  3E8 0001AF10 RtlFindActivationContextSectionGuid
       1010  3E9 0001CF70 RtlFindActivationContextSectionString
       1011  3EA 0001D9C0 RtlFindCharInUnicodeString
       1012  3EB 000F64B0 RtlFindClearBits
       1013  3EC 00004D50 RtlFindClearBitsAndSet
       1014  3ED 000F6800 RtlFindClearBitsAndSetEx
       1015  3EE 000F6B50 RtlFindClearBitsEx
       1016  3EF 000F6E70 RtlFindClearRuns
       1017  3F0 000FCBC0 RtlFindClosestEncodableLength
       1018  3F1 0007B020 RtlFindExportedRoutineByName
       1019  3F2 0007DD10 RtlFindLastBackwardRunClear
       1020  3F3 00087AE0 RtlFindLeastSignificantBit
       1021  3F4 000F7150 RtlFindLongestRunClear
       1022  3F5 0002A640 RtlFindMessage
       1023  3F6 00087F00 RtlFindMostSignificantBit
       1024  3F7 000F71A0 RtlFindNextForwardRunClear
       1025  3F8 00002D80 RtlFindSetBits
       1026  3F9 000F72A0 RtlFindSetBitsAndClear
       1027  3FA 000F7640 RtlFindSetBitsAndClearEx
       1028  3FB 000F79D0 RtlFindSetBitsEx
       1029  3FC 00085F80 RtlFindUnicodeSubstring
       1030  3FD 000A29C0 RtlFirstEntrySList
       1031  3FE 0001ACC0 RtlFirstFreeAce
       1032  3FF 000740C0 RtlFlsAlloc
       1033  400 00071230 RtlFlsFree
       1034  401 000571C0 RtlFlsGetValue
       1035  402 00052320 RtlFlsSetValue
       1036  403 000772A0 RtlFlushHeaps
       1037  404 00107DB0 RtlFlushNonVolatileMemory
       1038  405 00108710 RtlFlushNonVolatileMemoryRanges
       1039  406 00102CD0 RtlFlushSecureMemoryCache
       1040  407 0001A6A0 RtlFormatCurrentUserKeyPath
       1041  408 0008E340 RtlFormatMessage
       1042  409 00053640 RtlFormatMessageEx
       1043  40A 00073830 RtlFreeActivationContextStack
       1044  40B 00080110 RtlFreeAnsiString
       1045  40C 00003EB0 RtlFreeHandle
       1046  40D 0003AAB0 RtlFreeHeap
       1047  40E 0012F150 RtlFreeMemoryBlockLookaside
       1048  40F 001087A0 RtlFreeNonVolatileToken
       1049  410 0008CF00 RtlFreeOemString
       1050  411 000765A0 RtlFreeSid
       1051  412 00073790 RtlFreeThreadActivationContextStack
       1052  413 000F5920 RtlFreeUTF8String
       1053  414 0000E4F0 RtlFreeUnicodeString
       1054  415 000EBF60 RtlFreeUserFiberShadowStack
       1055  416 000872A0 RtlFreeUserStack
       1056  417 0006E4E0 RtlGUIDFromString
       1057  418 00108A50 RtlGenerate8dot3Name
       1058  419 0006C470 RtlGetAce
       1059  41A 00076CE0 RtlGetActiveActivationContext
       1060  41B 00085710 RtlGetActiveConsoleId
       1061  41C 0000A570 RtlGetAppContainerNamedObjectPath
       1062  41D 000F0B40 RtlGetAppContainerParent
       1063  41E 0000A810 RtlGetAppContainerSidType
       1064  41F 000F8A60 RtlGetCallersAddress
       1065  420 000841C0 RtlGetCompressionWorkSpaceSize
       1066  421 001091A0 RtlGetConsoleSessionForegroundProcessId
       1067  422 0007E1F0 RtlGetControlSecurityDescriptor
       1068  423 000F32C0 RtlGetCriticalSectionRecursionCount
       1069  424 0007B5E0 RtlGetCurrentDirectory_U
       1070  425 00002D30 RtlGetCurrentPeb
       1071  426 000A3AB0 RtlGetCurrentProcessorNumber
       1072  427 000A3B00 RtlGetCurrentProcessorNumberEx
       1073  428 0003ABA0 RtlGetCurrentServiceSessionId
       1074  429 00070880 RtlGetCurrentTransaction
       1075  42A 00102870 RtlGetCurrentUmsThread
       1076  42B 0006C410 RtlGetDaclSecurityDescriptor
       1077  42C 00077FA0 RtlGetDeviceFamilyInfoEnum
       1078  42D 000812E0 RtlGetElementGenericTable
       1079  42E 00102AE0 RtlGetElementGenericTableAvl
       1080  42F 00084BE0 RtlGetEnabledExtendedFeatures
       1081  430 00083700 RtlGetExePath
       1082  431 00054270 RtlGetExtendedContextLength
       1083  432 00054620 RtlGetExtendedContextLength2
       1084  433 00101370 RtlGetExtendedFeaturesMask
       1085  434 000090F0 RtlGetFileMUIPath
       1086  435 00088020 RtlGetFrame
       1087  436 00083790 RtlGetFullPathName_U
       1088  437 00018F10 RtlGetFullPathName_UEx
       1089  438 00018FA0 RtlGetFullPathName_UstrEx
       1090  439 000EB0C0 RtlGetFunctionTableListHead
       1091  43A 0007F3C0 RtlGetGroupSecurityDescriptor
       1092  43B 00082F20 RtlGetImageFileMachines
       1093  43C 00003AD0 RtlGetIntegerAtom
       1094  43D 0007E060 RtlGetInterruptTimePrecise
