Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file E:\KsaLib\0\dll_xp_win7_win11\ntdll_export\ntdll_86.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    2451EFDD time date stamp
        0.00 version
           8 ordinal base
        2482 number of functions
        2482 number of names

    ordinal hint RVA      name

        138   7B 0003A2D0 LdrGetDllPath
        139   7C 000B41D0 LdrGetFailureData
        140   7D 000C4420 LdrGetFileNameFromLoadAsDataTable
        141   7E 0002A180 LdrGetProcedureAddress
        142   7F 00024A80 LdrGetProcedureAddressEx
        143   80 00044B60 LdrGetProcedureAddressForCaller
        144   81 0008AEB0 LdrHotPatchNotify
        145   82 000B6EB0 LdrInitShimEngineDynamic
        146   83 000B3790 LdrInitializeEnclave
        147   84 0005D7D0 LdrInitializeThunk
        148   85 000B41E0 LdrIsModuleSxsRedirected
        149   86 00028A70 LdrLoadAlternateResourceModule
        150   87 00052E30 LdrLoadAlternateResourceModuleEx
        151   88 00046D50 LdrLoadDll
        152   89 000B36A0 LdrLoadEnclaveModule
        153   8A 0005F8A0 LdrLockLoaderLock
        154   8B 0006B230 LdrOpenImageFileOptionsKey
        155   8C 0012F59C LdrParentInterlockedPopEntrySList
        156   8D 0012F58C LdrParentRtlInitializeNtUserPfn
        157   8E 0012F594 LdrParentRtlResetNtUserPfn
        158   8F 0012F590 LdrParentRtlRetrieveNtUserPfn
        159   90 000C7AA0 LdrProcessRelocationBlock
        160   91 000C7AD0 LdrProcessRelocationBlockEx
        161   92 0006CB30 LdrQueryImageFileExecutionOptions
        162   93 0006CB70 LdrQueryImageFileExecutionOptionsEx
        163   94 00024EC0 LdrQueryImageFileKeyOption
        164   95 000B43B0 LdrQueryModuleServiceTags
        165   96 000B4FF0 LdrQueryOptionalDelayLoadedAPI
        166   97 000B4450 LdrQueryProcessModuleInformation
        167   98 00029B80 LdrRegisterDllNotification
        168   99 000C1D80 LdrRemoveDllDirectory
        169   9A 00035920 LdrRemoveLoadAsDataTable
        170   9B 000C8130 LdrResFindResource
        171   9C 00058890 LdrResFindResourceDirectory
        172   9D 00054010 LdrResGetRCConfig
        173   9E 000C8190 LdrResRelease
        174   9F 000559B0 LdrResSearchResource
        175   A0 000445D0 LdrResolveDelayLoadedAPI
        176   A1 000B5090 LdrResolveDelayLoadsFromDll
        177   A2 00053DA0 LdrRscIsTypeExist
        178   A3 00070DB0 LdrSetAppCompatDllRedirectionCallback
        179   A4 000C1E30 LdrSetDefaultDllDirectories
        180   A5 000708B0 LdrSetDllDirectory
        181   A6 0006FEE0 LdrSetDllManifestProber
        182   A7 000B4950 LdrSetImplicitPathOptions
        183   A8 000C4470 LdrSetMUICacheType
        184   A9 0005E080 LdrShutdownProcess
        185   AA 00046140 LdrShutdownThread
        186   AB 00049540 LdrStandardizeSystemPath
        187   AC 00130250 LdrSystemDllInitBlock
        188   AD 0005EE90 LdrUnloadAlternateResourceModule
        189   AE 0005EEB0 LdrUnloadAlternateResourceModuleEx
        190   AF 000449C0 LdrUnloadDll
        191   B0 0005F820 LdrUnlockLoaderLock
        192   B1 000B49B0 LdrUnregisterDllNotification
        193   B2 000C1E70 LdrUpdatePackageSearchPath
        194   B3 000B4A30 LdrVerifyImageMatchesChecksum
        195   B4 000B4AA0 LdrVerifyImageMatchesChecksumEx
        196   B5 0012F4E0 LdrpChildNtdll
        197   B6 00055C30 LdrpResGetMappingSize
        198   B7 00054350 LdrpResGetResourceDirectory
        199   B8 00106990 MD4Final
        200   B9 00106A30 MD4Init
        201   BA 00106A70 MD4Update
        202   BB 00072F60 MD5Final
        203   BC 00075C50 MD5Init
        204   BD 00073000 MD5Update
        205   BE 00097050 MicrosoftTelemetryAssertTriggeredUM
        206   BF 0012A868 NlsAnsiCodePage
        207   C0 0012D289 NlsMbCodePageTag
        208   C1 0012D288 NlsMbOemCodePageTag
        209   C2 00076110 NtAcceptConnectPort
        210   C3 000760F0 NtAccessCheck
        211   C4 000763A0 NtAccessCheckAndAuditAlarm
        212   C5 00076740 NtAccessCheckByType
        213   C6 000766A0 NtAccessCheckByTypeAndAuditAlarm
        214   C7 00076750 NtAccessCheckByTypeResultList
        215   C8 00076760 NtAccessCheckByTypeResultListAndAuditAlarm
        216   C9 00076770 NtAccessCheckByTypeResultListAndAuditAlarmByHandle
        217   CA 00076780 NtAcquireCrossVmMutant
        218   CB 00076790 NtAcquireProcessActivityReference
        219   CC 00076580 NtAddAtom
        220   CD 000767A0 NtAddAtomEx
        221   CE 000767B0 NtAddBootEntry
        222   CF 000767C0 NtAddDriverEntry
        223   D0 000767D0 NtAdjustGroupsToken
        224   D1 00076520 NtAdjustPrivilegesToken
        225   D2 000767E0 NtAdjustTokenClaimsAndDeviceGroups
        226   D3 000767F0 NtAlertResumeThread
        227   D4 00076800 NtAlertThread
        228   D5 00076810 NtAlertThreadByThreadId
        229   D6 00076820 NtAllocateLocallyUniqueId
        230   D7 00076830 NtAllocateReserveObject
        231   D8 00076840 NtAllocateUserPhysicalPages
        232   D9 00076850 NtAllocateUserPhysicalPagesEx
        233   DA 00076860 NtAllocateUuids
        234   DB 00076270 NtAllocateVirtualMemory
        235   DC 00076870 NtAllocateVirtualMemoryEx
        236   DD 00076880 NtAlpcAcceptConnectPort
        237   DE 00076890 NtAlpcCancelMessage
        238   DF 000768A0 NtAlpcConnectPort
        239   E0 000768B0 NtAlpcConnectPortEx
