Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file E:\KsaLib\0\dll_xp_win7_win11\ntdll_export\ntdll_86.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    2451EFDD time date stamp
        0.00 version
           8 ordinal base
        2482 number of functions
        2482 number of names

    ordinal hint RVA      name

        568  229 00077900 NtRenameKey
        569  22A 00077910 NtRenameTransactionManager
        570  22B 00077920 NtReplaceKey
        571  22C 00077930 NtReplacePartitionUnit
        572  22D 000761B0 NtReplyPort
        573  22E 000761A0 NtReplyWaitReceivePort
        574  22F 000763C0 NtReplyWaitReceivePortEx
        575  230 00077940 NtReplyWaitReplyPort
        576  231 00077950 NtRequestPort
        577  232 00076330 NtRequestWaitReplyPort
        578  233 00077960 NtResetEvent
        579  234 00077970 NtResetWriteWatch
        580  235 00077980 NtRestoreKey
        581  236 00077990 NtResumeProcess
        582  237 00076630 NtResumeThread
        583  238 000779A0 NtRevertContainerImpersonation
        584  239 000779B0 NtRollbackComplete
        585  23A 000779C0 NtRollbackEnlistment
        586  23B 000779D0 NtRollbackRegistryTransaction
        587  23C 000779E0 NtRollbackTransaction
        588  23D 000779F0 NtRollforwardTransactionManager
        589  23E 00077A00 NtSaveKey
        590  23F 00077A10 NtSaveKeyEx
        591  240 00077A20 NtSaveMergedKeys
        592  241 00077A30 NtSecureConnectPort
        593  242 00077A40 NtSerializeBoot
        594  243 00077A50 NtSetBootEntryOrder
        595  244 00077A60 NtSetBootOptions
        597  245 00077A70 NtSetCachedSigningLevel
        596  246 00077A80 NtSetCachedSigningLevel2
        598  247 00077A90 NtSetContextThread
        599  248 00077AA0 NtSetDebugFilterState
        600  249 00077AB0 NtSetDefaultHardErrorPort
        601  24A 00077AC0 NtSetDefaultLocale
        602  24B 00077AD0 NtSetDefaultUILanguage
        603  24C 00077AE0 NtSetDriverEntryOrder
        604  24D 00077AF0 NtSetEaFile
        605  24E 000761D0 NtSetEvent
        606  24F 000763E0 NtSetEventBoostPriority
        607  250 00077B00 NtSetHighEventPair
        608  251 00077B10 NtSetHighWaitLowEventPair
        609  252 00077B20 NtSetIRTimer
        610  253 00077B30 NtSetInformationCpuPartition
        611  254 00077B40 NtSetInformationDebugObject
        612  255 00077B50 NtSetInformationEnlistment
        613  256 00076380 NtSetInformationFile
        614  257 00077B60 NtSetInformationIoRing
        615  258 00077B70 NtSetInformationJobObject
        616  259 00077B80 NtSetInformationKey
        617  25A 000766D0 NtSetInformationObject
        618  25B 000762D0 NtSetInformationProcess
        619  25C 00077B90 NtSetInformationResourceManager
        620  25D 00077BA0 NtSetInformationSymbolicLink
        621  25E 000761C0 NtSetInformationThread
        622  25F 00077BB0 NtSetInformationToken
        623  260 00077BC0 NtSetInformationTransaction
        624  261 00077BD0 NtSetInformationTransactionManager
        625  262 00077BE0 NtSetInformationVirtualMemory
        626  263 00077BF0 NtSetInformationWorkerFactory
        627  264 00077C00 NtSetIntervalProfile
        628  265 00077C10 NtSetIoCompletion
        629  266 00077C20 NtSetIoCompletionEx
        630  267 00077C30 NtSetLdtEntries
        631  268 00077C40 NtSetLowEventPair
        632  269 00077C50 NtSetLowWaitHighEventPair
        633  26A 00077C60 NtSetQuotaInformationFile
        634  26B 00077C70 NtSetSecurityObject
        635  26C 00077C80 NtSetSystemEnvironmentValue
        636  26D 00077C90 NtSetSystemEnvironmentValueEx
        637  26E 00077CA0 NtSetSystemInformation
        638  26F 00077CB0 NtSetSystemPowerState
        639  270 00077CC0 NtSetSystemTime
        640  271 00077CD0 NtSetThreadExecutionState
        642  272 00076730 NtSetTimer
        641  273 00077CE0 NtSetTimer2
        643  274 00077CF0 NtSetTimerEx
        644  275 00077D00 NtSetTimerResolution
        645  276 00077D10 NtSetUuidSeed
        646  277 00076710 NtSetValueKey
        647  278 00077D20 NtSetVolumeInformationFile
        648  279 00077D30 NtSetWnfProcessNotificationEvent
        649  27A 00077D40 NtShutdownSystem
        650  27B 00077D50 NtShutdownWorkerFactory
        651  27C 00077D60 NtSignalAndWaitForSingleObject
        652  27D 00077D70 NtSinglePhaseReject
        653  27E 00077D80 NtStartProfile
        654  27F 00077D90 NtStopProfile
        655  280 00077DA0 NtSubmitIoRing
        656  281 00077DB0 NtSubscribeWnfStateChange
        657  282 00077DC0 NtSuspendProcess
        658  283 00077DD0 NtSuspendThread
        659  284 00077DE0 NtSystemDebugControl
        660  285 00077DF0 NtTerminateEnclave
        661  286 00077E00 NtTerminateJobObject
        662  287 000763D0 NtTerminateProcess
        663  288 00076640 NtTerminateThread
        664  289 00077E10 NtTestAlert
        665  28A 00077E20 NtThawRegistry
        666  28B 00077E30 NtThawTransactions
        667  28C 00077E40 NtTraceControl
        668  28D 000766F0 NtTraceEvent
        669  28E 00077E50 NtTranslateFilePath
        670  28F 00077E60 NtUmsThreadYield
        671  290 00077E70 NtUnloadDriver
        673  291 00077E80 NtUnloadKey
        672  292 00077E90 NtUnloadKey2
        674  293 00077EA0 NtUnloadKeyEx
        675  294 00077EB0 NtUnlockFile
        676  295 00077EC0 NtUnlockVirtualMemory
        677  296 000763B0 NtUnmapViewOfSection
        678  297 00077ED0 NtUnmapViewOfSectionEx
        679  298 00077EE0 NtUnsubscribeWnfStateChange
        680  299 00077EF0 NtUpdateWnfStateData
        681  29A 00077F00 NtVdmControl
        682  29B 00077F10 NtWaitForAlertByThreadId
        683  29C 00077F20 NtWaitForDebugEvent
        684  29D 00077F30 NtWaitForKeyedEvent
        686  29E 000766C0 NtWaitForMultipleObjects
        685  29F 000762B0 NtWaitForMultipleObjects32
        687  2A0 00076130 NtWaitForSingleObject
        688  2A1 00077F40 NtWaitForWorkViaWorkerFactory
        689  2A2 00077F50 NtWaitHighEventPair
        690  2A3 00077F60 NtWaitLowEventPair
        691  2A4 00076100 NtWorkerFactoryWorkerReady
        692  2A5 00078050 NtWow64AllocateVirtualMemory64
        693  2A6 00078080 NtWow64CallFunction64
        694  2A7 00077FA0 NtWow64CsrAllocateCaptureBuffer
        695  2A8 00077FC0 NtWow64CsrAllocateMessagePointer
        696  2A9 00077FD0 NtWow64CsrCaptureMessageBuffer
        697  2AA 00077FE0 NtWow64CsrCaptureMessageString
        698  2AB 00077F90 NtWow64CsrClientCallServer
        699  2AC 00077F70 NtWow64CsrClientConnectToServer
        700  2AD 00077FB0 NtWow64CsrFreeCaptureBuffer
        701  2AE 00077FF0 NtWow64CsrGetProcessId
        702  2AF 00077F80 NtWow64CsrIdentifyAlertableThread
        703  2B0 00078000 NtWow64CsrVerifyRegion
        704  2B1 00078010 NtWow64DebuggerCall
        705  2B2 00078020 NtWow64GetCurrentProcessorNumberEx
        706  2B3 00078030 NtWow64GetNativeSystemInformation
        707  2B4 00078090 NtWow64IsProcessorFeaturePresent
        708  2B5 00078040 NtWow64QueryInformationProcess64
        709  2B6 00078060 NtWow64ReadVirtualMemory64
        710  2B7 00078070 NtWow64WriteVirtualMemory64
        711  2B8 00076170 NtWriteFile
        712  2B9 000762C0 NtWriteFileGather
        713  2BA 00076680 NtWriteRequestData
        714  2BB 000764B0 NtWriteVirtualMemory
        715  2BC 00076570 NtYieldExecution
        716  2BD 00097950 NtdllDefWindowProc_A
        717  2BE 00097960 NtdllDefWindowProc_W
        718  2BF 00097A10 NtdllDialogWndProc_A
        719  2C0 00097A20 NtdllDialogWndProc_W
        720  2C1 000CA520 PfxFindPrefix
        721  2C2 000CA5C0 PfxInitialize
        722  2C3 000CA5E0 PfxInsertPrefix
        723  2C4 000CA6D0 PfxRemovePrefix
        724  2C5 0010D0C0 PssNtCaptureSnapshot
        725  2C6 0010D690 PssNtDuplicateSnapshot
        726  2C7 0010D700 PssNtFreeRemoteSnapshot
        727  2C8 0010D8A0 PssNtFreeSnapshot
        728  2C9 0010DA00 PssNtFreeWalkMarker
        729  2CA 0010DA30 PssNtQuerySnapshot
        730  2CB 0010DBC0 PssNtValidateDescriptor
        731  2CC 0010DC90 PssNtWalkSnapshot
        732  2CD 000CA910 RtlAbortRXact
        733  2CE 0006A340 RtlAbsoluteToSelfRelativeSD
        734  2CF 00043BC0 RtlAcquirePebLock
        735  2D0 000CB100 RtlAcquirePrivilege
        736  2D1 000CF790 RtlAcquireReleaseSRWLockExclusive
        737  2D2 0006E890 RtlAcquireResourceExclusive
        738  2D3 0006DEF0 RtlAcquireResourceShared
        739  2D4 00043500 RtlAcquireSRWLockExclusive
        740  2D5 00051C60 RtlAcquireSRWLockShared
        741  2D6 00067540 RtlActivateActivationContext
        742  2D7 00067590 RtlActivateActivationContextEx
          9  2D8 000468B0 RtlActivateActivationContextUnsafeFast
        743  2D9 0002FC10 RtlAddAccessAllowedAce
        744  2DA 00070520 RtlAddAccessAllowedAceEx
        745  2DB 000D0020 RtlAddAccessAllowedObjectAce
        746  2DC 000D0070 RtlAddAccessDeniedAce
        747  2DD 000D00A0 RtlAddAccessDeniedAceEx
        748  2DE 000D00D0 RtlAddAccessDeniedObjectAce
        749  2DF 000D0120 RtlAddAccessFilterAce
        750  2E0 000297A0 RtlAddAce
        751  2E1 000CA950 RtlAddActionToRXact
        752  2E2 00062F90 RtlAddAtomToAtomTable
        753  2E3 000CA990 RtlAddAttributeActionToRXact
        754  2E4 000D0300 RtlAddAuditAccessAce
        755  2E5 000D0340 RtlAddAuditAccessAceEx
        756  2E6 000D0380 RtlAddAuditAccessObjectAce
        757  2E7 000D03F0 RtlAddCompoundAce
        758  2E8 000D2570 RtlAddIntegrityLabelToBoundaryDescriptor
        759  2E9 0002E820 RtlAddMandatoryAce
        760  2EA 000D0520 RtlAddProcessTrustLabelAce
        761  2EB 0003BEC0 RtlAddRefActivationContext
        762  2EC 0008E970 RtlAddRefMemoryStream
        763  2ED 000D0640 RtlAddResourceAttributeAce
        764  2EE 00028330 RtlAddSIDToBoundaryDescriptor
        765  2EF 000D09A0 RtlAddScopedPolicyIDAce
        766  2F0 000BD390 RtlAddVectoredContinueHandler
        767  2F1 000298C0 RtlAddVectoredExceptionHandler
        768  2F2 0005ACB0 RtlAddressInSectionTable
        769  2F3 0006ACC0 RtlAdjustPrivilege
        770  2F4 00035700 RtlAllocateActivationContextStack
        771  2F5 00067930 RtlAllocateAndInitializeSid
        772  2F6 000CB360 RtlAllocateAndInitializeSidEx
        773  2F7 00063530 RtlAllocateHandle
        774  2F8 0004BAC0 RtlAllocateHeap
        775  2F9 00129010 RtlAllocateMemoryBlockLookaside
        776  2FA 001290A0 RtlAllocateMemoryZone
        777  2FB 00070B80 RtlAllocateWnfSerializationGroup
        778  2FC 00065DD0 RtlAnsiCharToUnicodeChar
        779  2FD 00029460 RtlAnsiStringToUnicodeSize
        780  2FE 0004A150 RtlAnsiStringToUnicodeString
        781  2FF 000D3440 RtlAppendAsciizToString
        782  300 000B28D0 RtlAppendPathElement
        783  301 000D34A0 RtlAppendStringToString
        784  302 0003CC90 RtlAppendUnicodeStringToString
        785  303 00049680 RtlAppendUnicodeToString
        786  304 000BF0F0 RtlApplicationVerifierStop
        787  305 000CAB30 RtlApplyRXact
        788  306 000CABC0 RtlApplyRXactNoFlush
        789  307 000B2220 RtlAppxIsFileOwnedByTrustedInstaller
        790  308 000CB3F0 RtlAreAllAccessesGranted
        791  309 000CB410 RtlAreAnyAccessesGranted
        792  30A 000D3620 RtlAreBitsClear
        793  30B 0006B870 RtlAreBitsSet
        794  30C 00068830 RtlAreLongPathsEnabled
        795  30D 000D4FB0 RtlAssert
        796  30E 000D50C0 RtlAvlInsertNodeEx
        797  30F 000D5230 RtlAvlRemoveNode
        798  310 000D5670 RtlBarrier
        799  311 000D5690 RtlBarrierForDelete
        800  312 0010BEB0 RtlCancelTimer
        801  313 000D2CC0 RtlCanonicalizeDomainName
        802  314 00071B00 RtlCapabilityCheck
        803  315 000CB430 RtlCapabilityCheckForSingleSessionSku
        804  316 00098580 RtlCaptureContext
        805  317 00061080 RtlCaptureStackBackTrace
        806  318 00098880 RtlCaptureStackContext
        807  319 00027290 RtlCharToInteger
        808  31A 000D5C10 RtlCheckBootStatusIntegrity
        809  31B 0006C110 RtlCheckForOrphanedCriticalSections
        810  31C 000D64E0 RtlCheckPortableOperatingSystem
        811  31D 000D65B0 RtlCheckRegistryKey
        812  31E 000BAAC0 RtlCheckSandboxedToken
        813  31F 000D5D20 RtlCheckSystemBootStatusIntegrity
        814  320 00071F40 RtlCheckTokenCapability
        815  321 000CB470 RtlCheckTokenMembership
        816  322 0002EE90 RtlCheckTokenMembershipEx
        817  323 00033240 RtlCleanUpTEBLangLists
        818  324 000D3700 RtlClearAllBits
        819  325 0008EA30 RtlClearBit
        820  326 0006B610 RtlClearBits
        821  327 0003F3D0 RtlClearThreadWorkOnBehalfTicket
        822  328 000B9D50 RtlCloneMemoryStream
        823  329 000BA6D0 RtlCloneUserProcess
        824  32A 000DB740 RtlCmDecodeMemIoResource
        825  32B 000DB7C0 RtlCmEncodeMemIoResource
        826  32C 000BB790 RtlCommitDebugInfo
        827  32D 000B9D50 RtlCommitMemoryStream
        828  32E 000DBD30 RtlCompactHeap
        829  32F 000DF660 RtlCompareAltitudes
        830  330 0008EF40 RtlCompareExchangePointerMapping
        831  331 0008F050 RtlCompareExchangePropertyStore
        832  332 00097C80 RtlCompareMemory
        833  333 00097CD0 RtlCompareMemoryUlong
        834  334 000D3500 RtlCompareString
        835  335 0005F680 RtlCompareUnicodeString
        836  336 0005F6B0 RtlCompareUnicodeStrings
        837  337 000DF8E0 RtlCompressBuffer
        838  338 000DFB90 RtlComputeCrc32
        839  339 000C3680 RtlComputeImportTableHash
        840  33A 000B9A20 RtlComputePrivatizedDllName_U
        841  33B 000DFBD0 RtlConnectToSm
        842  33C 000C9160 RtlConsoleMultiByteToUnicodeN
        843  33D 000DFFC0 RtlConstructCrossVmEventPath
        844  33E 000DFFC0 RtlConstructCrossVmMutexPath
        845  33F 000E0110 RtlContractHashTable
        846  340 000B9F10 RtlConvertDeviceFamilyInfoToString
        847  341 000CF8B0 RtlConvertExclusiveToShared
        848  342 0008E460 RtlConvertHostPerfCounterToPerfCounter
        849  343 000D6DF0 RtlConvertLCIDToString
        850  344 000982D0 RtlConvertLongToLargeInteger
        851  345 000CF7C0 RtlConvertSRWLockExclusiveToShared
        852  346 000CF910 RtlConvertSharedToExclusive
        853  347 0002FE60 RtlConvertSidToUnicodeString
        854  348 000BAB10 RtlConvertToAutoInheritSecurityObject
        855  349 000982E0 RtlConvertUlongToLargeInteger
        856  34A 000D3740 RtlCopyBitMap
        857  34B 000E0AA0 RtlCopyContext
        858  34C 000E0C10 RtlCopyExtendedContext
        859  34D 000CB490 RtlCopyLuid
        860  34E 000CB4B0 RtlCopyLuidAndAttributesArray
        861  34F 000E1BB0 RtlCopyMappedMemory
        862  350 000B9D60 RtlCopyMemoryStreamTo
        863  351 000B9D60 RtlCopyOutOfProcessMemoryStreamTo
        864  352 000BAB40 RtlCopySecurityDescriptor
        865  353 0002E960 RtlCopySid
        866  354 000CB4F0 RtlCopySidAndAttributesArray
        867  355 0002A450 RtlCopyString
        868  356 00032B70 RtlCopyUnicodeString
        869  357 000E1CA0 RtlCrc32
        870  358 000E1CD0 RtlCrc64
        871  359 0002DDF0 RtlCreateAcl
        872  35A 00066C50 RtlCreateActivationContext
        873  35B 000BABD0 RtlCreateAndSetSD
        874  35C 00062EC0 RtlCreateAtomTable
        875  35D 000D5D70 RtlCreateBootStatusDataFile
        876  35E 000289E0 RtlCreateBoundaryDescriptor
        877  35F 00060090 RtlCreateEnvironment
        878  360 000600C0 RtlCreateEnvironmentEx
        879  361 000E0220 RtlCreateHashTable
        880  362 000E0250 RtlCreateHashTableEx
        881  363 00058A90 RtlCreateHeap
        882  364 00029190 RtlCreateMemoryBlockLookaside
        883  365 000292F0 RtlCreateMemoryZone
        884  366 000BA8C0 RtlCreateProcessParameters
        885  367 000BA900 RtlCreateProcessParametersEx
        886  368 00026640 RtlCreateProcessParametersWithTemplate
        887  369 000B9FD0 RtlCreateProcessReflection
        888  36A 000BB7B0 RtlCreateQueryDebugBuffer
        889  36B 000D65F0 RtlCreateRegistryKey
        890  36C 00032BD0 RtlCreateSecurityDescriptor
        891  36D 00027780 RtlCreateServiceSid
        892  36E 000E2EF0 RtlCreateSystemVolumeInformationFolder
        893  36F 0006D850 RtlCreateTagHeap
        894  370 00028D10 RtlCreateTimer
        895  371 00027410 RtlCreateTimerQueue
        896  372 00030590 RtlCreateUnicodeString
        897  373 00047630 RtlCreateUnicodeStringFromAsciiz
        898  374 000C4DD0 RtlCreateUserProcess
        899  375 000C4E30 RtlCreateUserProcessEx
        900  376 000BAEB0 RtlCreateUserSecurityObject
        901  377 00075840 RtlCreateUserStack
        902  378 00073B10 RtlCreateUserThread
        903  379 000CB580 RtlCreateVirtualAccountSid
        904  37A 00031AC0 RtlCultureNameToLCID
        905  37B 000C92D0 RtlCustomCPToUnicodeN
        906  37C 00061C20 RtlCutoverTimeToSystemTime
        907  37D 000BB940 RtlDeCommitDebugInfo
        908  37E 000BA940 RtlDeNormalizeProcessParams
        909  37F 00035560 RtlDeactivateActivationContext
         10  380 00046950 RtlDeactivateActivationContextUnsafeFast
        910  381 00070E00 RtlDebugPrintTimes
        911  382 0006A000 RtlDecodePointer
        912  383 000BF420 RtlDecodeRemotePointer
        913  384 00029890 RtlDecodeSystemPointer
        914  385 000DF940 RtlDecompressBuffer
        915  386 000DF9A0 RtlDecompressBufferEx
        916  387 000DFA00 RtlDecompressFragment
        917  388 000BAF20 RtlDefaultNpAcl
        918  389 0008FD70 RtlDelayExecution
        919  38A 00026370 RtlDelete
        920  38B 00027920 RtlDeleteAce
        921  38C 00025BF0 RtlDeleteAtomFromAtomTable
        922  38D 000D56B0 RtlDeleteBarrier
        923  38E 0002A3E0 RtlDeleteBoundaryDescriptor
        924  38F 0005A490 RtlDeleteCriticalSection
        925  390 00026150 RtlDeleteElementGenericTable
        926  391 00025320 RtlDeleteElementGenericTableAvl
        927  392 00025650 RtlDeleteElementGenericTableAvlEx
        928  393 000E0270 RtlDeleteHashTable
        929  394 0006B2A0 RtlDeleteNoSplay
        930  395 000D6630 RtlDeleteRegistryValue
        931  396 00028430 RtlDeleteResource
        932  397 0006F370 RtlDeleteSecurityObject
        933  398 000270A0 RtlDeleteTimer
        934  399 0010BED0 RtlDeleteTimerQueue
        935  39A 00026F20 RtlDeleteTimerQueueEx
        936  39B 000E3C50 RtlDeregisterSecureMemoryCacheCallback
        937  39C 0010C180 RtlDeregisterWait
        938  39D 000263C0 RtlDeregisterWaitEx
        939  39E 000720B0 RtlDeriveCapabilitySidsFromName
        940  39F 000D2360 RtlDestroyAtomTable
        941  3A0 0002A310 RtlDestroyEnvironment
        942  3A1 0002A880 RtlDestroyHandleTable
        943  3A2 0005A130 RtlDestroyHeap
        944  3A3 000D28E0 RtlDestroyMemoryBlockLookaside
        945  3A4 000D2B10 RtlDestroyMemoryZone
        946  3A5 0002A310 RtlDestroyProcessParameters
        947  3A6 000BB960 RtlDestroyQueryDebugBuffer
        948  3A7 0005E300 RtlDetectHeapLeaks
        949  3A8 0003AFD0 RtlDetermineDosPathNameType_U
        950  3A9 000B2600 RtlDisableThreadProfiling
        951  3AA 0006ECE0 RtlDisownModuleHeapAllocation
          8  3AB 0002A930 RtlDispatchAPC
        952  3AC 00064C90 RtlDllShutdownInProgress
        953  3AD 000D2EB0 RtlDnsHostNameToComputerName
        954  3AE 000B2B00 RtlDoesFileExists_U
        955  3AF 000E6C40 RtlDoesNameContainWildCards
        956  3B0 00047CC0 RtlDosApplyFileIsolationRedirection_Ustr
        957  3B1 000B2B20 RtlDosLongPathNameToNtPathName_U_WithStatus
        958  3B2 000B2B50 RtlDosLongPathNameToRelativeNtPathName_U_WithStatus
        959  3B3 00069AC0 RtlDosPathNameToNtPathName_U
        960  3B4 00065AD0 RtlDosPathNameToNtPathName_U_WithStatus
        961  3B5 00066B00 RtlDosPathNameToRelativeNtPathName_U
        962  3B6 000477E0 RtlDosPathNameToRelativeNtPathName_U_WithStatus
        963  3B7 000B2B80 RtlDosSearchPath_U
        964  3B8 00050200 RtlDosSearchPath_Ustr
        965  3B9 000D2F70 RtlDowncaseUnicodeChar
        966  3BA 00029530 RtlDowncaseUnicodeString
        967  3BB 000CF9E0 RtlDumpResource
        968  3BC 000702A0 RtlDuplicateUnicodeString
        969  3BD 000D2420 RtlEmptyAtomTable
        970  3BE 000CFA30 RtlEnableEarlyCriticalSectionEventCreation
        971  3BF 000B2650 RtlEnableThreadProfiling
        972  3C0 00069FB0 RtlEncodePointer
        973  3C1 000BF470 RtlEncodeRemotePointer
        974  3C2 00070790 RtlEncodeSystemPointer
        975  3C3 000E0300 RtlEndEnumerationHashTable
        976  3C4 000E0350 RtlEndStrongEnumerationHashTable
        977  3C5 000E0360 RtlEndWeakEnumerationHashTable
        978  3C6 00098070 RtlEnlargedIntegerMultiply
        979  3C7 00098080 RtlEnlargedUnsignedMultiply
        980  3C8 00043D10 RtlEnterCriticalSection
        981  3C9 000DBE90 RtlEnumProcessHeaps
        982  3CA 000E0370 RtlEnumerateEntryHashTable
        983  3CB 000E38C0 RtlEnumerateGenericTable
        984  3CC 0002A1B0 RtlEnumerateGenericTableAvl
        985  3CD 000E39D0 RtlEnumerateGenericTableLikeADirectory
        986  3CE 0002A340 RtlEnumerateGenericTableWithoutSplaying
        987  3CF 0002A1E0 RtlEnumerateGenericTableWithoutSplayingAvl
        988  3D0 000D2F90 RtlEqualComputerName
        989  3D1 000D2FB0 RtlEqualDomainName
        990  3D2 000CB660 RtlEqualLuid
        991  3D3 0002E560 RtlEqualPrefixSid
        992  3D4 0002E7E0 RtlEqualSid
        993  3D5 000279E0 RtlEqualString
        994  3D6 0004B5B0 RtlEqualUnicodeString
        995  3D7 0002AAD0 RtlEqualWnfChangeStamps
        996  3D8 000CB690 RtlEraseUnicodeString
        997  3D9 000E7340 RtlEthernetAddressToStringA
        998  3DA 000E7520 RtlEthernetAddressToStringW
        999  3DB 000E7990 RtlEthernetStringToAddressA
       1000  3DC 000E7AB0 RtlEthernetStringToAddressW
       1001  3DD 0005DD90 RtlExitUserProcess
       1002  3DE 0006DFA0 RtlExitUserThread
       1003  3DF 00041360 RtlExpandEnvironmentStrings
       1004  3E0 0006E820 RtlExpandEnvironmentStrings_U
       1005  3E1 000E0420 RtlExpandHashTable
       1006  3E2 000E7BD0 RtlExtendCorrelationVector
       1007  3E3 000D2930 RtlExtendMemoryBlockLookaside
       1008  3E4 000D2B70 RtlExtendMemoryZone
       1009  3E5 000981A0 RtlExtendedIntegerMultiply
       1010  3E6 000980B0 RtlExtendedLargeIntegerDivide
       1011  3E7 00098110 RtlExtendedMagicDivide
       1012  3E8 000D3910 RtlExtractBitMap
       1013  3E9 00097D00 RtlFillMemory
       1014  3EA 00097D70 RtlFillMemoryUlong
       1015  3EB 00097D40 RtlFillMemoryUlonglong
       1016  3EC 0008D8D0 RtlFinalReleaseOutOfProcessMemoryStream
       1017  3ED 0002E1B0 RtlFindAceByType
       1018  3EE 00047260 RtlFindActivationContextSectionGuid
       1019  3EF 000485E0 RtlFindActivationContextSectionString
       1020  3F0 00048F20 RtlFindCharInUnicodeString
       1021  3F1 000D3A90 RtlFindClearBits
       1022  3F2 0003B250 RtlFindClearBitsAndSet
       1023  3F3 000D3D40 RtlFindClearRuns
       1024  3F4 000DB8F0 RtlFindClosestEncodableLength
       1025  3F5 000D2590 RtlFindExportedRoutineByName
       1026  3F6 000D3FA0 RtlFindLastBackwardRunClear
       1027  3F7 000D4080 RtlFindLeastSignificantBit
       1028  3F8 000D4120 RtlFindLongestRunClear
       1029  3F9 00062D40 RtlFindMessage
       1030  3FA 000D4160 RtlFindMostSignificantBit
       1031  3FB 000D4200 RtlFindNextForwardRunClear
       1032  3FC 000D42E0 RtlFindSetBits
       1033  3FD 000D4590 RtlFindSetBitsAndClear
       1034  3FE 00069DC0 RtlFindUnicodeSubstring
       1035  3FF 000C3AA0 RtlFirstEntrySList
       1036  400 0002E150 RtlFirstFreeAce
       1037  401 0006E6A0 RtlFlsAlloc
       1038  402 000709C0 RtlFlsFree
       1039  403 00062980 RtlFlsGetValue
       1040  404 00062E90 RtlFlsSetValue
       1041  405 000DBEB0 RtlFlushHeaps
       1042  406 000E3CE0 RtlFlushSecureMemoryCache
       1043  407 0002FD40 RtlFormatCurrentUserKeyPath
       1044  408 000E7F90 RtlFormatMessage
       1045  409 00035140 RtlFormatMessageEx
       1046  40A 00035800 RtlFreeActivationContextStack
       1047  40B 0004BA40 RtlFreeAnsiString
       1048  40C 0006B260 RtlFreeHandle
       1049  40D 0004EB60 RtlFreeHeap
       1050  40E 00129180 RtlFreeMemoryBlockLookaside
       1051  40F 000D3020 RtlFreeOemString
       1052  410 0006DAC0 RtlFreeSid
       1053  411 00035750 RtlFreeThreadActivationContextStack
       1054  412 0004BA40 RtlFreeUTF8String
       1055  413 0004BA40 RtlFreeUnicodeString
       1056  414 000B3760 RtlFreeUserStack
       1057  415 000E7FD0 RtlGUIDFromString
       1058  416 000E82A0 RtlGenerate8dot3Name
       1059  417 0006CFC0 RtlGetAce
       1060  418 0005CF70 RtlGetActiveActivationContext
       1061  419 0006F950 RtlGetActiveConsoleId
       1062  41A 0006B450 RtlGetAppContainerNamedObjectPath
       1063  41B 000CB6D0 RtlGetAppContainerParent
       1064  41C 000CB780 RtlGetAppContainerSidType
       1065  41D 000D57E0 RtlGetCallersAddress
       1066  41E 000DFA60 RtlGetCompressionWorkSpaceSize
       1067  41F 000E89D0 RtlGetConsoleSessionForegroundProcessId
       1068  420 0006E7E0 RtlGetControlSecurityDescriptor
       1069  421 000CFA50 RtlGetCriticalSectionRecursionCount
       1070  422 00025F10 RtlGetCurrentDirectory_U
       1071  423 000E8A00 RtlGetCurrentPeb
       1072  424 0006AED0 RtlGetCurrentProcessorNumber
       1073  425 00069C80 RtlGetCurrentProcessorNumberEx
       1074  426 0004EBF0 RtlGetCurrentServiceSessionId
       1075  427 00063830 RtlGetCurrentTransaction
       1076  428 000691F0 RtlGetDaclSecurityDescriptor
       1077  429 0006E4C0 RtlGetDeviceFamilyInfoEnum
       1078  42A 000E3910 RtlGetElementGenericTable
       1079  42B 000E3AA0 RtlGetElementGenericTableAvl
       1080  42C 0006ED70 RtlGetEnabledExtendedFeatures
       1081  42D 0002A800 RtlGetExePath
       1083  42E 000E0D00 RtlGetExtendedContextLength
       1082  42F 000E0C30 RtlGetExtendedContextLength2
       1084  430 000E0D60 RtlGetExtendedFeaturesMask
       1085  431 000D6EC0 RtlGetFileMUIPath
       1086  432 000B3E30 RtlGetFrame
       1087  433 0006AD80 RtlGetFullPathName_U
       1088  434 0006ADB0 RtlGetFullPathName_UEx
       1089  435 000490C0 RtlGetFullPathName_UstrEx
       1090  436 00070120 RtlGetGroupSecurityDescriptor
       1091  437 0008DA50 RtlGetImageFileMachines
       1092  438 00063330 RtlGetIntegerAtom
       1093  439 000C9BE0 RtlGetInterruptTimePrecise
       1094  43A 0006FAB0 RtlGetLastNtStatus
       1095  43B 000E8AF0 RtlGetLastWin32Error
       1096  43C 00068320 RtlGetLengthWithoutLastFullDosOrNtPathElement
       1097  43D 000B2D50 RtlGetLengthWithoutTrailingPathSeperators
       1098  43E 000345B0 RtlGetLocaleFileMappingAddress
       1099  43F 00070A30 RtlGetLongestNtPathLength
       1100  440 000C9D10 RtlGetMultiTimePrecise
       1101  441 00078030 RtlGetNativeSystemInformation
       1102  442 000E05C0 RtlGetNextEntryHashTable
       1103  443 0008EAE0 RtlGetNtGlobalFlags
       1104  444 00038540 RtlGetNtProductType
       1105  445 0004BA90 RtlGetNtSystemRoot
       1106  446 000B8B30 RtlGetNtVersionNumbers
