Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    5C6E13DD time date stamp Thu Feb 21 10:58:37 2019
        0.00 version
           1 ordinal base
        130   79 00043710 LdrInitializeThunk
        131   7A 00044980 LdrLoadAlternateResourceModule
        132   7B 0001ACD0 LdrLoadAlternateResourceModuleEx
        133   7C 000EADA0 LdrLoadDll
        134   7D 0003E1F0 LdrLockLoaderLock
        135   7E 000E3B40 LdrOpenImageFileOptionsKey
        136   7F 00052880 LdrProcessInitializationComplete
        137   80 000A5190 LdrProcessRelocationBlock
        138   81 0004F890 LdrQueryImageFileExecutionOptions
        139   82 0004F8C0 LdrQueryImageFileExecutionOptionsEx
        140   83 000E0C00 LdrQueryImageFileKeyOption
        141   84 000BF350 LdrQueryModuleServiceTags
        142   85 000B19F0 LdrQueryProcessModuleInformation
        143   86 000DA280 LdrRegisterDllNotification
        144   87 0000FC50 LdrRemoveLoadAsDataTable
        145   88 001020C0 LdrResFindResource
        146   89 0003BC40 LdrResFindResourceDirectory
        147   8A 0003F760 LdrResGetRCConfig
        148   8B 000F1D10 LdrResRelease
        149   8C 0003AFB0 LdrResSearchResource
        150   8D 0003F3C0 LdrRscIsTypeExist
        151   8E 000A6CD0 LdrSetAppCompatDllRedirectionCallback
        152   8F 000533E0 LdrSetDllManifestProber
        153   90 000E6190 LdrSetMUICacheType
        154   91 000375B0 LdrShutdownProcess
        155   92 00038660 LdrShutdownThread
        156   93 0012B110 LdrSystemDllInitBlock
        157   94 0000DEA0 LdrUnloadAlternateResourceModule
        158   95 00010A40 LdrUnloadAlternateResourceModuleEx
        159   96 00016E50 LdrUnloadDll
        160   97 000170A0 LdrUnlockLoaderLock
        161   98 000C60D0 LdrUnregisterDllNotification
        162   99 000CE2B0 LdrVerifyImageMatchesChecksum
        163   9A 000CDEF0 LdrVerifyImageMatchesChecksumEx
        164   9B 0003ADD0 LdrpResGetMappingSize
        165   9C 00038940 LdrpResGetResourceDirectory
        166   9D 000677A0 MD4Final
        167   9E 00067090 MD4Init
        168   9F 00067640 MD4Update
        169   A0 000681B0 MD5Final
        170   A1 00067870 MD5Init
        171   A2 00068040 MD5Update
        172   A3 0012CB84 NlsAnsiCodePage
        173   A4 0012C9F7 NlsMbCodePageTag
        174   A5 0012CB4E NlsMbOemCodePageTag
        175   A6 00069EB0 NtAcceptConnectPort
        176   A7 00069EC0 NtAccessCheck
        177   A8 00069B10 NtAccessCheckAndAuditAlarm
        178   A9 00069ED0 NtAccessCheckByType
        179   AA 00069E10 NtAccessCheckByTypeAndAuditAlarm
        180   AB 00069EE0 NtAccessCheckByTypeResultList
        181   AC 00069EF0 NtAccessCheckByTypeResultListAndAuditAlarm
        182   AD 00069F00 NtAccessCheckByTypeResultListAndAuditAlarmByHandle
        183   AE 00069CF0 NtAddAtom
        184   AF 00069F10 NtAddBootEntry
        185   B0 00069F20 NtAddDriverEntry
        186   B1 00069F30 NtAdjustGroupsToken
        187   B2 00069C90 NtAdjustPrivilegesToken
        188   B3 00069F40 NtAlertResumeThread
        189   B4 00069F50 NtAlertThread
        190   B5 00069F60 NtAllocateLocallyUniqueId
        191   B6 00069F70 NtAllocateReserveObject
        192   B7 00069F80 NtAllocateUserPhysicalPages
        193   B8 00069F90 NtAllocateUuids
        194   B9 00069A00 NtAllocateVirtualMemory
        195   BA 00069FA0 NtAlpcAcceptConnectPort
        196   BB 00069FB0 NtAlpcCancelMessage
        197   BC 00069FC0 NtAlpcConnectPort
        198   BD 00069FD0 NtAlpcCreatePort
        199   BE 00069FE0 NtAlpcCreatePortSection
        200   BF 00069FF0 NtAlpcCreateResourceReserve
        201   C0 0006A000 NtAlpcCreateSectionView
        202   C1 0006A010 NtAlpcCreateSecurityContext
        203   C2 0006A020 NtAlpcDeletePortSection
        204   C3 0006A030 NtAlpcDeleteResourceReserve
        205   C4 0006A040 NtAlpcDeleteSectionView
        206   C5 0006A050 NtAlpcDeleteSecurityContext
        207   C6 0006A060 NtAlpcDisconnectPort
        208   C7 0006A070 NtAlpcImpersonateClientOfPort
        209   C8 0006A080 NtAlpcOpenSenderProcess
        210   C9 0006A090 NtAlpcOpenSenderThread
        211   CA 0006A0A0 NtAlpcQueryInformation
        212   CB 0006A0B0 NtAlpcQueryInformationMessage
        213   CC 0006A0C0 NtAlpcRevokeSecurityContext
        214   CD 0006A0D0 NtAlpcSendWaitReceivePort
        215   CE 0006A0E0 NtAlpcSetInformation
        216   CF 00069D40 NtApphelpCacheControl
        217   D0 0006A0F0 NtAreMappedFilesTheSame
        218   D1 0006A100 NtAssignProcessToJobObject
        219   D2 000698D0 NtCallbackReturn
        220   D3 00069E50 NtCancelIoFile
        221   D4 0006A110 NtCancelIoFileEx
        222   D5 0006A120 NtCancelSynchronousIoFile
        223   D6 00069E90 NtCancelTimer
        224   D7 00069C60 NtClearEvent
        225   D8 00069970 NtClose
        226   D9 00069C30 NtCloseObjectAuditAlarm
        227   DA 0006A130 NtCommitComplete
        228   DB 0006A140 NtCommitEnlistment
        229   DC 0006A150 NtCommitTransaction
        230   DD 0006A160 NtCompactKeys
        231   DE 0006A170 NtCompareTokens
        232   DF 0006A180 NtCompleteConnectPort
        233   E0 0006A190 NtCompressKey
        234   E1 0006A1A0 NtConnectPort
        235   E2 00069CB0 NtContinue
        236   E3 0006A1B0 NtCreateDebugObject
        237   E4 0006A1C0 NtCreateDirectoryObject
        238   E5 0006A1D0 NtCreateEnlistment
        239   E6 00069D00 NtCreateEvent
        240   E7 0006A1E0 NtCreateEventPair
        241   E8 00069DD0 NtCreateFile
        242   E9 0006A1F0 NtCreateIoCompletion
        243   EA 0006A200 NtCreateJobObject
        244   EB 0006A210 NtCreateJobSet
        245   EC 00069A50 NtCreateKey
        246   ED 0006A220 NtCreateKeyTransacted
        247   EE 0006A230 NtCreateKeyedEvent
        248   EF 0006A240 NtCreateMailslotFile
        249   F0 0006A250 NtCreateMutant
        250   F1 0006A260 NtCreateNamedPipeFile
        251   F2 0006A270 NtCreatePagingFile
        252   F3 0006A280 NtCreatePort
        253   F4 0006A290 NtCreatePrivateNamespace
        254   F5 0006A2A0 NtCreateProcess
        255   F6 00069D50 NtCreateProcessEx
        256   F7 0006A2B0 NtCreateProfile
        257   F8 0006A2C0 NtCreateProfileEx
        258   F9 0006A2D0 NtCreateResourceManager
        259   FA 00069D20 NtCreateSection
        260   FB 0006A2E0 NtCreateSemaphore
        261   FC 0006A2F0 NtCreateSymbolicLinkObject
        262   FD 00069D60 NtCreateThread
        263   FE 0006A300 NtCreateThreadEx
        264   FF 0006A310 NtCreateTimer
        265  100 0006A320 NtCreateToken
        266  101 0006A330 NtCreateTransaction
        267  102 0006A340 NtCreateTransactionManager
        268  103 0006A350 NtCreateUserProcess
        269  104 0006A360 NtCreateWaitablePort
        270  105 0006A370 NtCreateWorkerFactory
        271  106 0006A380 NtDebugActiveProcess
        272  107 0006A390 NtDebugContinue
        273  108 00069BC0 NtDelayExecution
        274  109 0006A3A0 NtDeleteAtom
        275  10A 0006A3B0 NtDeleteBootEntry
        276  10B 0006A3C0 NtDeleteDriverEntry
        277  10C 0006A3D0 NtDeleteFile
        278  10D 0006A3E0 NtDeleteKey
        279  10E 0006A3F0 NtDeleteObjectAuditAlarm
        280  10F 0006A400 NtDeletePrivateNamespace
        281  110 0006A410 NtDeleteValueKey
        282  111 000698F0 NtDeviceIoControlFile
        283  112 0006A420 NtDisableLastKnownGood
        284  113 0006A430 NtDisplayString
        285  114 0006A440 NtDrawText
        286  115 00069C40 NtDuplicateObject
        287  116 00069CA0 NtDuplicateToken
        288  117 0006A450 NtEnableLastKnownGood
        289  118 0006A460 NtEnumerateBootEntries
        290  119 0006A470 NtEnumerateDriverEntries
        291  11A 00069BA0 NtEnumerateKey
        292  11B 0006A480 NtEnumerateSystemEnvironmentValuesEx
        293  11C 0006A490 NtEnumerateTransactionObject
        294  11D 000699B0 NtEnumerateValueKey
        295  11E 0006A4A0 NtExtendSection
        296  11F 0006A4B0 NtFilterToken
        297  120 000699C0 NtFindAtom
        298  121 00069D30 NtFlushBuffersFile
        299  122 0006A4C0 NtFlushInstallUILanguage
        300  123 0006A4D0 NtFlushInstructionCache
        301  124 0006A4E0 NtFlushKey
        302  125 0006A4F0 NtFlushProcessWriteBuffers
        303  126 0006A500 NtFlushVirtualMemory
        304  127 0006A510 NtFlushWriteBuffer
        305  128 0006A520 NtFreeUserPhysicalPages
        306  129 00069A60 NtFreeVirtualMemory
        307  12A 0006A530 NtFreezeRegistry
        308  12B 0006A540 NtFreezeTransactions
        309  12C 00069C10 NtFsControlFile
        310  12D 0006A550 NtGetContextThread
        311  12E 0006A560 NtGetCurrentProcessorNumber
        312  12F 0006A570 NtGetDevicePowerState
        313  130 0006A580 NtGetMUIRegistryInfo
        314  131 0006A590 NtGetNextProcess
        315  132 0006A5A0 NtGetNextThread
        316  133 0006A5B0 NtGetNlsSectionPtr
        317  134 0006A5C0 NtGetNotificationResourceManager
        318  135 0006A5D0 NtGetPlugPlayEvent
        319  136 000AEEA0 NtGetTickCount
        320  137 0006A5E0 NtGetWriteWatch
        321  138 0006A5F0 NtImpersonateAnonymousToken
        322  139 00069A70 NtImpersonateClientOfPort
        323  13A 0006A600 NtImpersonateThread
        324  13B 0006A610 NtInitializeNlsFiles
        325  13C 0006A620 NtInitializeRegistry
        326  13D 0006A630 NtInitiatePowerAction
        327  13E 00069D70 NtIsProcessInJob
        328  13F 0006A640 NtIsSystemResumeAutomatic
        329  140 0006A650 NtIsUILanguageComitted
        330  141 0006A660 NtListenPort
        331  142 0006A670 NtLoadDriver
        332  143 0006A680 NtLoadKey
        333  144 0006A690 NtLoadKey2
        334  145 0006A6A0 NtLoadKeyEx
        335  146 0006A6B0 NtLockFile
        336  147 0006A6C0 NtLockProductActivationKeys
        337  148 0006A6D0 NtLockRegistryKey
        338  149 0006A6E0 NtLockVirtualMemory
        339  14A 0006A6F0 NtMakePermanentObject
        340  14B 0006A700 NtMakeTemporaryObject
        341  14C 0006A710 NtMapCMFModule
        342  14D 0006A720 NtMapUserPhysicalPages
        343  14E 000698B0 NtMapUserPhysicalPagesScatter
        344  14F 00069B00 NtMapViewOfSection
