Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    5C6E1C38 time date stamp Thu Feb 21 11:34:16 2019
        0.00 version
           1 ordinal base
        140   7D 000583C4 LdrOpenImageFileOptionsKey
        141   7E 000AECBF LdrProcessRelocationBlock
        142   7F 0006037A LdrQueryImageFileExecutionOptions
        143   80 000603A1 LdrQueryImageFileExecutionOptionsEx
        144   81 00057E0F LdrQueryImageFileKeyOption
        145   82 0009FF84 LdrQueryModuleServiceTags
        146   83 0009FF64 LdrQueryProcessModuleInformation
        147   84 0006F915 LdrRegisterDllNotification
        148   85 0005A2D1 LdrRemoveLoadAsDataTable
        149   86 000624F1 LdrResFindResource
        150   87 00040003 LdrResFindResourceDirectory
        151   88 0005BBDD LdrResGetRCConfig
        152   89 000AF232 LdrResRelease
        153   8A 0003F48A LdrResSearchResource
        154   8B 00051911 LdrRscIsTypeExist
        155   8C 000C2DE0 LdrSetAppCompatDllRedirectionCallback
        156   8D 0004A92A LdrSetDllManifestProber
        157   8E 000AE3A5 LdrSetMUICacheType
        158   8F 00058E67 LdrShutdownProcess
        159   90 0005213A LdrShutdownThread
        160   91 00107748 LdrSystemDllInitBlock
        161   92 0005A1C0 LdrUnloadAlternateResourceModule
        162   93 0005A1D8 LdrUnloadAlternateResourceModuleEx
        163   94 0003D2DA LdrUnloadDll
        164   95 00036FD2 LdrUnlockLoaderLock
        165   96 00070AA8 LdrUnregisterDllNotification
        166   97 000A0055 LdrVerifyImageMatchesChecksum
        167   98 0009FADA LdrVerifyImageMatchesChecksumEx
        168   99 000A5FBD LdrWx86FormatVirtualImage
        169   9A 0003F06B LdrpResGetMappingSize
        170   9B 0003F17E LdrpResGetResourceDirectory
        171   9C 000DAEA1 MD4Final
        172   9D 000DAD54 MD4Init
        173   9E 000DAD88 MD4Update
        174   9F 000758D8 MD5Final
        175   A0 00075785 MD5Init
        176   A1 00075966 MD5Update
        177   A2 00100010 NlsAnsiCodePage
        178   A3 00100003 NlsMbCodePageTag
        179   A4 00100004 NlsMbOemCodePageTag
        180   A5 00020240 NtAcceptConnectPort
        181   A6 00020258 NtAccessCheck
        182   A7 0001FC98 NtAccessCheckAndAuditAlarm
        183   A8 00020270 NtAccessCheckByType
        184   A9 00020144 NtAccessCheckByTypeAndAuditAlarm
        185   AA 00020288 NtAccessCheckByTypeResultList
        186   AB 000202A0 NtAccessCheckByTypeResultListAndAuditAlarm
        187   AC 000202B8 NtAccessCheckByTypeResultListAndAuditAlarmByHandle
        188   AD 0001FF88 NtAddAtom
        189   AE 000202D0 NtAddBootEntry
        190   AF 000202E8 NtAddDriverEntry
        191   B0 00020300 NtAdjustGroupsToken
        192   B1 0001FEF0 NtAdjustPrivilegesToken
        193   B2 00020318 NtAlertResumeThread
        194   B3 00020334 NtAlertThread
        195   B4 00020350 NtAllocateLocallyUniqueId
        196   B5 0002036C NtAllocateReserveObject
        197   B6 00020384 NtAllocateUserPhysicalPages
        198   B7 0002039C NtAllocateUuids
        199   B8 0001FAF0 NtAllocateVirtualMemory
        200   B9 000203B8 NtAlpcAcceptConnectPort
        201   BA 000203D0 NtAlpcCancelMessage
        202   BB 000203E8 NtAlpcConnectPort
        203   BC 00020400 NtAlpcCreatePort
        204   BD 00020418 NtAlpcCreatePortSection
        205   BE 00020430 NtAlpcCreateResourceReserve
        206   BF 00020448 NtAlpcCreateSectionView
        207   C0 00020460 NtAlpcCreateSecurityContext
        208   C1 00020478 NtAlpcDeletePortSection
        209   C2 00020490 NtAlpcDeleteResourceReserve
        210   C3 000204A8 NtAlpcDeleteSectionView
        211   C4 000204C0 NtAlpcDeleteSecurityContext
        212   C5 000204D8 NtAlpcDisconnectPort
        213   C6 000204F0 NtAlpcImpersonateClientOfPort
        214   C7 00020508 NtAlpcOpenSenderProcess
        215   C8 00020520 NtAlpcOpenSenderThread
        216   C9 00020538 NtAlpcQueryInformation
        217   CA 00020550 NtAlpcQueryInformationMessage
        218   CB 00020568 NtAlpcRevokeSecurityContext
        219   CC 00020580 NtAlpcSendWaitReceivePort
        220   CD 00020598 NtAlpcSetInformation
        221   CE 00020004 NtApphelpCacheControl
        222   CF 000205B0 NtAreMappedFilesTheSame
        223   D0 000205CC NtAssignProcessToJobObject
        224   D1 0001F908 NtCallbackReturn
        225   D2 000201AC NtCancelIoFile
        226   D3 000205E8 NtCancelIoFileEx
        227   D4 00020600 NtCancelSynchronousIoFile
        228   D5 0002020C NtCancelTimer
        229   D6 0001FEA4 NtClearEvent
        230   D7 0001FA10 NtClose
